Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,10.16,10.28,9.99,10.05,2899341
2018-09-18 07:00:00,10.05,10.11,9.82,10.11,2148183
2018-09-19 07:00:00,10.16,10.9,10.11,10.67,8285694
2018-09-20 07:00:00,11.07,11.24,10.62,11.07,5097730
2018-09-21 07:00:00,11.01,11.18,10.62,10.9,4545084
2018-09-24 07:00:00,11.01,11.29,10.84,11.24,3437250
2018-09-25 07:00:00,11.24,11.74,11.24,11.69,3912611
2018-09-26 07:00:00,11.69,12.08,11.41,11.52,5501055
2018-09-27 07:00:00,11.63,11.8,11.35,11.8,4418568
2018-09-28 07:00:00,11.86,11.86,11.18,11.29,6106055
2018-10-01 07:00:00,11.46,11.74,11.29,11.41,5482504
2018-10-02 07:00:00,11.58,11.74,11.35,11.46,5267350
2018-10-03 07:00:00,11.46,11.52,11.01,11.41,4544530
2018-10-04 07:00:00,11.41,11.63,11.29,11.41,4387431
2018-10-05 07:00:00,11.41,11.41,10.96,11.07,3729366
2018-10-08 07:00:00,11.07,11.07,10.73,10.78,3494942
2018-10-09 07:00:00,10.78,10.96,10.56,10.62,4541409
2018-10-10 07:00:00,10.62,10.67,10.33,10.45,3458770
2018-10-11 07:00:00,10.39,10.39,9.09,9.43,8183266
2018-10-12 07:00:00,9.26,9.77,9.04,9.71,2660010
2018-10-15 07:00:00,9.66,9.71,9.32,9.43,1320970
2018-10-16 07:00:00,9.37,9.6,9.37,9.54,1269200
2018-10-17 07:00:00,9.6,9.94,9.6,9.71,2295195
2018-10-18 07:00:00,9.71,9.71,9.49,9.49,1250590
2018-10-19 07:00:00,9.43,9.77,9.2,9.54,1357151
2018-10-22 07:00:00,9.49,9.77,9.49,9.54,1113580
2018-10-23 07:00:00,9.6,9.6,9.09,9.32,2149170
2018-10-24 07:00:00,9.32,9.37,8.81,8.98,2477002
2018-10-25 07:00:00,8.92,9.09,8.47,8.98,2534474
2018-10-26 07:00:00,8.81,9.26,8.81,8.86,1463380
2018-10-29 07:00:00,8.92,9.04,8.75,8.81,1223802
2018-10-30 07:00:00,8.75,8.98,8.75,8.86,743209
2018-10-31 07:00:00,8.92,9.32,8.92,9.32,2635545
2018-11-01 07:00:00,9.32,9.32,8.98,8.98,1063610
2018-11-02 07:00:00,9.09,9.26,9.04,9.26,1507400
2018-11-05 07:00:00,9.2,9.2,8.92,9.09,980133
2018-11-06 07:00:00,9.15,9.43,9.15,9.15,2873338
2018-11-07 07:00:00,9.15,9.2,8.98,9.09,953910
2018-11-08 07:00:00,9.2,9.32,9.09,9.15,886250
2018-11-09 07:00:00,9.09,9.09,8.75,8.81,1760740
2018-11-12 07:00:00,8.75,9.09,8.64,9.04,1513688
2018-11-13 07:00:00,8.81,8.92,8.7,8.7,1364850
2018-11-14 07:00:00,8.64,8.7,8.36,8.36,2592291
2018-11-15 07:00:00,8.47,8.64,8.41,8.41,856120
2018-11-16 07:00:00,8.47,8.7,8.47,8.58,2083251
2018-11-19 07:00:00,8.47,8.75,7.34,8.7,1225507
2018-11-20 07:00:00,8.64,8.64,8.47,8.53,856630
2018-11-21 07:00:00,8.41,8.47,8.3,8.47,1269820
2018-11-22 07:00:00,8.53,8.58,8.13,8.24,3026508
2018-11-23 07:00:00,8.24,8.3,8.19,8.24,829211
2018-11-26 07:00:00,8.19,8.58,8.13,8.53,1088643
2018-11-27 07:00:00,8.47,8.7,8.36,8.47,1702220
2018-11-28 07:00:00,8.47,8.53,8.41,8.53,418400
2018-11-29 07:00:00,8.41,8.58,8.3,8.3,936600
2018-11-30 07:00:00,8.41,8.41,8.24,8.3,934200
2018-12-03 07:00:00,8.41,8.75,8.41,8.58,2873919
2018-12-04 07:00:00,8.7,8.81,8.64,8.7,2011360
2018-12-05 07:00:00,8.64,8.7,8.53,8.7,1842000
2018-12-06 07:00:00,8.64,8.98,8.58,8.75,3497078
2018-12-07 07:00:00,8.81,8.92,8.7,8.75,1182541
2018-12-10 07:00:00,8.81,8.81,8.53,8.64,1726479
2018-12-11 07:00:00,8.58,8.64,8.41,8.47,1757610
2018-12-12 07:00:00,8.47,8.86,8.47,8.81,1701519
2018-12-13 07:00:00,8.75,8.86,8.64,8.7,1291380
2018-12-14 07:00:00,8.7,8.7,8.53,8.64,1031890
2018-12-17 07:00:00,8.53,8.58,8.3,8.41,2463321
2018-12-18 07:00:00,8.3,8.3,8.13,8.19,2140710
2018-12-19 07:00:00,8.24,8.24,8.02,8.07,1442600
2018-12-20 07:00:00,8.02,8.3,7.96,8.19,1491185
2018-12-21 07:00:00,8.19,8.19,8.02,8.13,1146570
2018-12-24 07:00:00,8.13,8.13,7.79,7.85,1491200
2018-12-25 07:00:00,7.74,7.74,7.34,7.57,3285950
2018-12-26 07:00:00,7.62,7.68,7.4,7.45,1742000
2018-12-27 07:00:00,7.57,8.02,7.57,7.85,2097731
2018-12-28 07:00:00,7.79,7.96,7.62,7.68,1546117
2019-01-02 07:00:00,7.79,7.79,7.57,7.62,688310
2019-01-03 07:00:00,7.62,7.68,7.34,7.45,1303200
2019-01-04 07:00:00,7.45,7.51,7.23,7.45,1309060
2019-01-07 07:00:00,7.57,7.68,7.4,7.45,1297910
2019-01-08 07:00:00,7.57,7.57,7.45,7.45,614836
2019-01-09 07:00:00,7.57,7.68,7.51,7.62,1388802
2019-01-10 07:00:00,7.62,7.68,7.51,7.57,1382350
2019-01-11 07:00:00,7.57,7.85,6.49,7.74,2346200
2019-01-14 07:00:00,7.79,7.79,7.51,7.57,837109
2019-01-15 07:00:00,7.62,7.68,7.57,7.62,1133340
2019-01-16 07:00:00,7.68,7.74,7.57,7.68,1569100
2019-01-17 07:00:00,7.62,7.68,7.57,7.62,893657
2019-01-18 07:00:00,7.62,7.68,7.45,7.57,1245223
2019-01-21 07:00:00,7.23,7.57,6.66,6.89,5107272
2019-01-22 07:00:00,6.89,7.0,6.83,6.83,1300297
2019-01-23 07:00:00,6.89,7.57,6.72,6.78,1467160
2019-01-24 07:00:00,6.83,7.0,5.76,6.94,1410920
2019-01-25 07:00:00,6.94,7.0,6.89,6.94,702829
2019-01-28 07:00:00,7.06,7.23,6.89,7.17,1860290
