Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,3.95,3.95,3.87,3.87,400
2018-09-20 07:00:00,3.8,3.8,3.8,3.8,400
2018-10-09 07:00:00,3.43,3.43,3.43,3.43,7400
2018-10-10 07:00:00,3.72,3.72,3.72,3.72,100
2018-10-12 07:00:00,3.35,3.72,3.35,3.72,18500
2018-10-15 07:00:00,3.72,3.72,3.72,3.72,100
2018-10-19 07:00:00,3.72,4.02,3.72,4.02,34400
2018-10-22 07:00:00,3.87,3.87,3.87,3.87,100
2018-10-26 07:00:00,3.95,4.17,3.95,4.17,200
2018-11-09 07:00:00,3.87,3.87,3.87,3.87,1000
2018-11-13 07:00:00,3.72,3.87,3.5,3.87,62900
2018-11-14 07:00:00,3.5,3.5,3.5,3.5,42300
2018-11-15 07:00:00,3.8,3.8,3.8,3.8,100
2018-11-27 07:00:00,3.5,3.5,3.43,3.5,7700
2018-11-28 07:00:00,3.35,3.72,3.28,3.72,4200
2018-12-04 07:00:00,3.58,3.58,3.58,3.58,800
2018-12-11 07:00:00,3.43,3.43,3.43,3.43,100
2018-12-13 07:00:00,3.13,3.13,3.13,3.13,200
2018-12-14 07:00:00,3.05,3.13,3.05,3.13,1200
2018-12-17 07:00:00,3.13,3.43,3.13,3.43,500
2018-12-18 07:00:00,3.72,3.72,3.72,3.72,100
2019-01-15 07:00:00,3.72,3.72,3.72,3.72,100
2019-01-17 07:00:00,3.65,3.65,3.65,3.65,100
2019-01-30 07:00:00,3.35,3.72,3.35,3.72,300
2019-02-22 07:00:00,3.72,3.95,3.72,3.95,4200
2019-02-25 07:00:00,4.32,4.32,4.32,4.32,100
2019-02-26 07:00:00,4.17,4.17,4.1,4.1,88100
2019-02-27 07:00:00,4.02,4.25,4.02,4.1,134800
2019-02-28 07:00:00,4.1,4.25,4.1,4.25,144900
2019-03-01 07:00:00,4.1,4.1,4.1,4.1,100
2019-03-04 07:00:00,4.1,4.1,3.95,4.1,20500
2019-03-05 07:00:00,4.17,4.17,4.02,4.1,28800
2019-03-06 07:00:00,4.25,4.25,3.95,4.02,42900
2019-03-07 07:00:00,4.1,4.17,4.02,4.1,51100
2019-03-08 07:00:00,4.1,4.1,4.02,4.02,197900
2019-03-11 07:00:00,4.02,4.1,4.02,4.1,16100
2019-03-12 07:00:00,4.1,4.17,4.1,4.17,74300
2019-03-13 07:00:00,4.17,4.25,4.1,4.1,37000
2019-03-14 07:00:00,4.1,4.47,4.1,4.47,90040
2019-03-15 07:00:00,4.92,4.92,4.92,4.92,29900
2019-03-18 07:00:00,5.36,5.36,5.36,5.36,69700
2019-03-19 07:00:00,5.89,5.89,5.36,5.66,401400
2019-03-20 07:00:00,5.66,5.81,5.36,5.59,183730
2019-03-21 07:00:00,5.59,5.66,5.36,5.51,253800
2019-03-22 07:00:00,5.51,5.81,5.36,5.74,315000
2019-03-25 07:00:00,5.59,5.74,5.51,5.66,143800
2019-03-26 07:00:00,5.51,5.66,5.36,5.59,153000
2019-03-27 07:00:00,5.36,5.81,5.29,5.74,223620
2019-03-28 07:00:00,5.74,5.81,5.51,5.59,72100
2019-03-29 07:00:00,5.59,5.66,5.21,5.36,187400
2019-04-01 07:00:00,5.36,5.89,5.36,5.51,427700
2019-04-02 07:00:00,5.44,5.74,5.29,5.59,150300
2019-04-03 07:00:00,5.59,5.89,5.36,5.59,94100
2019-04-04 07:00:00,5.59,5.66,5.36,5.59,137300
2019-04-05 07:00:00,5.59,5.74,5.36,5.51,135500
2019-04-08 07:00:00,5.51,5.74,5.36,5.59,170600
2019-04-09 07:00:00,5.51,5.81,5.44,5.66,187200
2019-04-10 07:00:00,5.66,5.74,5.51,5.59,99120
2019-04-11 07:00:00,5.59,5.74,5.51,5.59,80510
2019-04-12 07:00:00,5.59,5.66,5.44,5.59,71700
2019-04-16 07:00:00,5.44,5.66,5.44,5.59,105500
2019-04-17 07:00:00,5.59,5.66,5.51,5.59,201500
