Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,2.68,2.68,2.64,2.68,3130
2018-09-18 07:00:00,2.64,2.68,2.64,2.68,6300
2018-09-19 07:00:00,2.64,2.68,2.59,2.64,10840
2018-09-20 07:00:00,2.59,2.64,2.59,2.64,200
2018-09-21 07:00:00,2.64,2.83,2.64,2.78,39434
2018-09-24 07:00:00,2.73,2.78,2.68,2.68,6700
2018-09-25 07:00:00,2.73,2.78,2.73,2.78,410
2018-09-26 07:00:00,2.78,2.78,2.78,2.78,100
2018-09-27 07:00:00,2.78,2.78,2.64,2.64,2000
2018-09-28 07:00:00,2.64,2.64,2.54,2.64,14720
2018-10-01 07:00:00,2.64,2.64,2.64,2.64,100
2018-10-02 07:00:00,2.54,2.64,2.54,2.64,300
2018-10-03 07:00:00,2.59,2.64,2.59,2.64,4100
2018-10-04 07:00:00,2.59,2.59,2.54,2.59,3400
2018-10-05 07:00:00,2.59,2.59,2.49,2.49,8300
2018-10-08 07:00:00,2.54,2.54,2.49,2.49,2300
2018-10-09 07:00:00,2.54,2.68,2.54,2.64,1800
2018-10-11 07:00:00,2.44,2.59,2.44,2.59,3900
2018-10-12 07:00:00,2.54,2.54,2.49,2.54,3600
2018-10-15 07:00:00,2.54,2.54,2.54,2.54,101
2018-10-16 07:00:00,2.59,2.59,2.54,2.54,4200
2018-10-17 07:00:00,2.54,2.54,2.54,2.54,2000
2018-10-18 07:00:00,2.59,2.59,2.54,2.59,700
2018-10-25 07:00:00,2.59,2.59,2.59,2.59,30
2018-10-29 07:00:00,2.44,2.54,2.44,2.54,1100
2018-10-30 07:00:00,2.54,2.54,2.54,2.54,3
2018-11-01 07:00:00,2.34,2.49,2.34,2.49,200
2018-11-02 07:00:00,2.34,2.49,2.34,2.49,2400
2018-11-05 07:00:00,2.49,2.49,2.49,2.49,1000
2018-11-06 07:00:00,2.49,2.64,2.49,2.64,2600
2018-11-16 07:00:00,2.49,2.49,2.49,2.49,500
