Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,1.09,1.09,1.09,1.09,200
2018-09-18 07:00:00,1.18,1.18,1.18,1.18,100
2018-09-19 07:00:00,1.09,1.09,1.09,1.09,2600
2018-09-20 07:00:00,1.18,1.18,1.18,1.18,100
2018-09-21 07:00:00,1.09,1.09,1.09,1.09,100
2018-09-24 07:00:00,1.18,1.18,1.18,1.18,100
2018-09-25 07:00:00,1.09,1.18,1.09,1.18,200
2018-09-26 07:00:00,1.09,1.23,1.09,1.23,2000
2018-09-27 07:00:00,1.14,1.23,1.14,1.23,200
2018-09-28 07:00:00,1.14,1.27,1.14,1.27,300
2018-10-01 07:00:00,1.18,1.18,1.18,1.18,100
2018-10-03 07:00:00,1.09,1.14,1.09,1.14,500
2018-10-05 07:00:00,1.04,1.14,1.04,1.14,7400
2018-10-08 07:00:00,1.14,1.14,1.14,1.14,10100
2018-10-09 07:00:00,1.04,1.14,1.04,1.14,200
2018-10-10 07:00:00,1.04,1.04,1.04,1.04,100
2018-10-11 07:00:00,1.0,1.14,1.0,1.14,300
2018-10-12 07:00:00,1.14,1.18,1.04,1.04,1200
2018-10-15 07:00:00,1.14,1.14,1.14,1.14,100
2018-10-16 07:00:00,1.04,1.18,1.04,1.18,1400
2018-10-17 07:00:00,1.09,1.18,1.09,1.18,3100
2018-10-18 07:00:00,1.09,1.14,1.09,1.14,9900
2018-10-19 07:00:00,1.14,1.14,1.14,1.14,1200
2018-10-22 07:00:00,1.14,1.18,1.04,1.18,600
2018-10-23 07:00:00,1.09,1.23,1.09,1.23,200
2018-10-24 07:00:00,1.14,1.14,1.14,1.14,100
2018-10-25 07:00:00,1.04,1.14,1.04,1.14,15200
2018-10-26 07:00:00,1.14,1.14,1.04,1.04,10100
2018-10-29 07:00:00,1.04,1.04,1.04,1.04,25
2018-10-31 07:00:00,1.14,1.14,1.14,1.14,100
2018-11-01 07:00:00,1.04,1.18,1.04,1.18,200
2018-11-02 07:00:00,1.09,1.14,1.09,1.14,200
2018-11-05 07:00:00,1.14,1.14,1.14,1.14,4900
2018-11-06 07:00:00,1.04,1.04,1.04,1.04,100
2018-11-08 07:00:00,1.14,1.14,1.14,1.14,100
2018-11-09 07:00:00,1.04,1.04,1.04,1.04,100
2018-11-16 07:00:00,1.14,1.14,1.14,1.14,100
2018-11-19 07:00:00,1.04,1.18,1.04,1.18,200
2018-11-20 07:00:00,1.09,1.14,1.09,1.14,10100
2018-11-21 07:00:00,1.04,1.04,1.04,1.04,100
2018-11-22 07:00:00,1.14,1.14,1.14,1.14,1100
2018-11-23 07:00:00,1.14,1.14,1.14,1.14,10000
2018-11-26 07:00:00,1.04,1.04,1.04,1.04,100
2018-11-30 07:00:00,0.95,1.09,0.95,1.09,2100
2018-12-03 07:00:00,1.0,1.09,1.0,1.09,2100
2018-12-04 07:00:00,1.09,1.09,1.09,1.09,40000
2018-12-05 07:00:00,1.09,1.14,1.09,1.14,62000
2018-12-06 07:00:00,1.09,1.14,1.09,1.14,13800
2018-12-07 07:00:00,1.14,1.14,1.14,1.14,20000
2018-12-10 07:00:00,1.14,1.14,1.14,1.14,3000
2018-12-11 07:00:00,1.04,1.04,1.04,1.04,100
2018-12-13 07:00:00,1.14,1.14,1.14,1.14,200
2018-12-14 07:00:00,1.18,1.18,1.18,1.18,100
2018-12-18 07:00:00,1.09,1.14,1.09,1.14,1100
2018-12-19 07:00:00,1.14,1.14,1.14,1.14,10
2018-12-20 07:00:00,1.14,1.18,1.14,1.18,10100
2018-12-21 07:00:00,1.09,1.23,1.09,1.23,200
2018-12-25 07:00:00,1.27,1.27,1.27,1.27,300
2018-12-27 07:00:00,1.36,1.36,1.36,1.36,100
2019-01-02 07:00:00,1.5,1.5,1.5,1.5,100
2019-01-03 07:00:00,1.64,1.64,1.59,1.59,300
2019-01-09 07:00:00,1.64,1.64,1.64,1.64,100
2019-02-25 07:00:00,1.64,1.64,1.64,1.64,1
2019-02-27 07:00:00,1.5,1.5,1.5,1.5,14900
2019-02-28 07:00:00,1.36,1.36,1.36,1.36,4300
2019-03-04 07:00:00,1.5,1.5,1.23,1.45,700
2019-03-06 07:00:00,1.59,1.59,1.45,1.45,1500
2019-03-07 07:00:00,1.45,1.45,1.45,1.45,1500
2019-03-08 07:00:00,1.59,1.59,1.45,1.45,17250
2019-03-11 07:00:00,1.45,1.45,1.45,1.45,16800
2019-03-13 07:00:00,1.45,1.45,1.45,1.45,900
2019-03-14 07:00:00,1.45,1.45,1.45,1.45,10200
2019-03-15 07:00:00,1.45,1.45,1.45,1.45,12000
2019-03-20 07:00:00,1.45,1.45,1.32,1.32,16200
2019-03-21 07:00:00,1.41,1.41,1.41,1.41,100
2019-04-04 07:00:00,1.27,1.27,1.27,1.27,161400
2019-04-05 07:00:00,1.36,1.36,1.23,1.23,29900
2019-04-08 07:00:00,1.23,1.23,1.23,1.23,84
2019-04-12 07:00:00,1.32,1.32,1.32,1.32,110
2019-04-16 07:00:00,1.32,1.32,1.32,1.32,5000
2019-04-18 07:00:00,1.32,1.32,1.32,1.32,36400
2019-04-19 07:00:00,1.41,1.41,1.41,1.41,6200
2019-04-23 07:00:00,1.54,1.54,1.54,1.54,122
2019-04-24 07:00:00,1.54,1.64,1.54,1.64,2600
2019-04-25 07:00:00,1.59,1.68,1.59,1.59,7500
2019-04-26 07:00:00,1.59,1.59,1.59,1.59,3820
2019-05-02 07:00:00,1.64,1.68,1.5,1.68,3100
2019-05-03 07:00:00,1.64,1.68,1.64,1.68,800
2019-05-06 07:00:00,1.64,1.64,1.59,1.59,900
2019-05-08 07:00:00,1.59,1.59,1.59,1.59,2200
2019-05-10 07:00:00,1.59,1.59,1.59,1.59,4000
2019-05-13 07:00:00,1.59,1.59,1.59,1.59,7400
2019-05-14 07:00:00,1.59,1.59,1.59,1.59,3900
2019-05-15 07:00:00,1.45,1.59,1.45,1.59,8900
2019-05-16 07:00:00,1.59,1.59,1.59,1.59,1700
2019-05-17 07:00:00,1.73,1.73,1.59,1.59,1900
2019-05-20 07:00:00,1.59,1.59,1.59,1.59,1500
2019-05-21 07:00:00,1.73,1.73,1.73,1.73,100
2019-05-27 07:00:00,1.86,1.86,1.73,1.73,35600
2019-05-29 07:00:00,1.77,1.77,1.68,1.68,1713
2019-05-30 07:00:00,1.73,1.77,1.68,1.77,5000
2019-06-10 07:00:00,1.73,1.91,1.73,1.91,1210
2019-06-13 07:00:00,1.91,1.91,1.91,1.91,100
2019-06-19 07:00:00,2.09,2.09,2.09,2.09,100
2019-06-20 07:00:00,2.09,2.18,2.04,2.09,31460
2019-06-21 07:00:00,2.09,2.18,2.04,2.18,35000
2019-06-24 07:00:00,2.09,2.23,2.09,2.23,11320
2019-06-25 07:00:00,2.23,2.23,2.18,2.18,2900
2019-06-26 07:00:00,2.04,2.04,2.0,2.04,11800
2019-06-27 07:00:00,2.0,2.0,2.0,2.0,100
2019-07-01 07:00:00,2.18,2.18,2.18,2.18,164
2019-07-02 07:00:00,2.04,2.04,2.04,2.04,19700
2019-07-03 07:00:00,2.04,2.18,2.04,2.04,34100
2019-07-04 07:00:00,2.04,2.04,2.04,2.04,14900
2019-07-05 07:00:00,1.95,1.95,1.95,1.95,11000
2019-07-08 07:00:00,1.95,2.0,1.95,2.0,11100
2019-07-09 07:00:00,2.09,2.09,2.09,2.09,100
2019-07-15 07:00:00,1.91,2.0,1.91,2.0,1116
2019-07-18 07:00:00,1.95,1.95,1.95,1.95,10100
2019-07-22 07:00:00,2.14,2.14,1.86,1.86,600
2019-07-23 07:00:00,2.04,2.04,2.04,2.04,600
2019-07-24 07:00:00,1.86,2.0,1.86,2.0,10400
2019-07-25 07:00:00,1.86,1.86,1.86,1.86,514
2019-07-26 07:00:00,2.04,2.04,2.04,2.04,100
2019-07-29 07:00:00,1.95,1.95,1.95,1.95,100
2019-07-30 07:00:00,1.86,1.86,1.86,1.86,100
2019-07-31 07:00:00,1.73,1.73,1.68,1.68,22700
2019-08-01 07:00:00,1.68,1.73,1.68,1.73,200
2019-08-02 07:00:00,1.86,1.86,1.59,1.82,30200
2019-08-05 07:00:00,1.64,1.91,1.64,1.64,2500
2019-08-06 07:00:00,1.77,1.77,1.77,1.77,100
2019-08-08 07:00:00,1.91,1.91,1.91,1.91,100
2019-08-14 07:00:00,1.91,1.91,1.91,1.91,10
2019-08-16 07:00:00,1.73,1.73,1.73,1.73,100
2019-08-20 07:00:00,1.86,1.86,1.86,1.86,100
