Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,7.8,7.86,7.68,7.68,2156240
2018-09-18 07:00:00,7.6,7.85,7.55,7.85,3436290
2018-09-19 07:00:00,7.9,7.95,7.85,7.91,4606830
2018-09-20 07:00:00,7.9,8.04,7.88,8.0,4587420
2018-09-21 07:00:00,8.09,8.14,8.01,8.07,7085490
2018-09-24 07:00:00,8.15,8.18,8.08,8.13,3011110
2018-09-25 07:00:00,8.08,8.17,8.04,8.08,3284420
2018-09-26 07:00:00,8.07,8.19,8.07,8.09,2945320
2018-09-27 07:00:00,8.14,8.29,8.09,8.24,4349150
2018-09-28 07:00:00,8.26,8.29,8.22,8.22,3238680
2018-10-01 07:00:00,8.22,8.24,8.12,8.14,2718800
2018-10-02 07:00:00,8.1,8.2,8.08,8.1,2987970
2018-10-03 07:00:00,8.14,8.18,8.09,8.18,2595250
2018-10-04 07:00:00,8.27,8.42,8.22,8.42,3749870
2018-10-05 07:00:00,8.34,8.42,8.24,8.24,3497780
2018-10-08 07:00:00,8.19,8.3,8.13,8.23,2493570
2018-10-09 07:00:00,8.23,8.29,8.2,8.26,1334060
2018-10-10 07:00:00,8.27,8.29,8.09,8.24,2429860
2018-10-11 07:00:00,7.89,8.06,7.67,7.67,9927880
2018-10-12 07:00:00,7.61,7.86,7.45,7.82,4954220
2018-10-15 07:00:00,7.82,7.82,7.62,7.66,1845760
2018-10-16 07:00:00,7.69,7.71,7.58,7.67,2143320
2018-10-17 07:00:00,7.81,7.82,7.74,7.79,2565980
2018-10-18 07:00:00,7.71,7.79,7.66,7.69,2044470
2018-10-19 07:00:00,7.56,7.71,7.51,7.62,2307550
2018-10-22 07:00:00,7.71,7.76,7.58,7.58,2307270
2018-10-23 07:00:00,7.46,7.53,7.22,7.33,4487910
2018-10-24 07:00:00,7.33,7.42,7.16,7.16,4276680
2018-10-25 07:00:00,6.7,7.13,6.7,7.08,4115970
2018-10-26 07:00:00,7.17,7.21,6.96,6.96,2485300
2018-10-29 07:00:00,6.95,6.96,6.85,6.93,1971190
2018-10-30 07:00:00,6.95,7.12,6.86,6.95,1967410
2018-10-31 07:00:00,7.08,7.28,7.04,7.24,2418880
2018-11-01 07:00:00,7.27,7.28,7.07,7.08,2372190
2018-11-02 07:00:00,7.14,7.33,7.1,7.28,3357100
2018-11-05 07:00:00,7.18,7.36,7.16,7.31,1836910
2018-11-06 07:00:00,7.36,7.38,7.23,7.23,2015480
2018-11-07 07:00:00,7.23,7.27,7.09,7.21,1878310
2018-11-08 07:00:00,7.33,7.33,7.24,7.24,1772080
2018-11-09 07:00:00,7.21,7.23,7.03,7.03,1537960
2018-11-12 07:00:00,6.95,7.16,6.9,7.16,1881680
2018-11-13 07:00:00,6.95,7.12,6.95,7.04,1201380
2018-11-14 07:00:00,7.04,7.13,6.92,7.03,1152590
2018-11-15 07:00:00,7.03,7.05,6.92,6.98,1109230
2018-11-16 07:00:00,7.03,7.08,6.95,7.0,1419440
2018-11-19 07:00:00,7.05,7.21,7.05,7.21,2127510
2018-11-20 07:00:00,7.12,7.19,7.12,7.18,1348260
2018-11-21 07:00:00,7.08,7.31,7.05,7.31,1622010
2018-11-22 07:00:00,7.31,7.33,7.22,7.24,1187210
2018-11-23 07:00:00,7.24,7.24,7.05,7.05,1364180
2018-11-26 07:00:00,7.0,7.07,7.0,7.03,1112650
2018-11-27 07:00:00,7.07,7.13,7.03,7.07,1626230
2018-11-28 07:00:00,7.07,7.13,7.02,7.13,1561150
2018-11-29 07:00:00,7.21,7.27,7.14,7.16,2115370
2018-11-30 07:00:00,7.14,7.21,7.12,7.21,1080940
2018-12-03 07:00:00,7.36,7.5,7.33,7.5,3666920
2018-12-04 07:00:00,7.46,7.52,7.4,7.45,2144650
2018-12-05 07:00:00,7.36,7.48,7.33,7.46,2978510
2018-12-06 07:00:00,7.43,7.48,7.41,7.43,2552240
2018-12-07 07:00:00,7.46,7.56,7.46,7.5,2214580
2018-12-10 07:00:00,7.41,7.46,7.4,7.4,1061320
2018-12-11 07:00:00,7.4,7.43,7.34,7.37,850740
2018-12-12 07:00:00,7.42,7.5,7.38,7.5,947590
2018-12-13 07:00:00,7.53,7.58,7.51,7.51,1923340
2018-12-14 07:00:00,7.43,7.5,7.41,7.41,1195470
2018-12-17 07:00:00,7.36,7.4,7.22,7.22,1604620
2018-12-18 07:00:00,7.03,7.22,7.03,7.13,1975390
2018-12-19 07:00:00,7.19,7.19,7.05,7.1,1349430
2018-12-20 07:00:00,7.09,7.21,7.07,7.12,925300
2018-12-21 07:00:00,7.08,7.08,7.04,7.04,1345330
2018-12-24 07:00:00,7.03,7.08,6.8,6.83,2087580
2018-12-25 07:00:00,6.69,6.8,6.52,6.79,2802250
2018-12-26 07:00:00,6.78,6.85,6.72,6.74,1110080
2018-12-27 07:00:00,6.88,6.94,6.83,6.83,1206330
2018-12-28 07:00:00,6.83,6.85,6.72,6.74,1071830
2019-01-02 07:00:00,6.75,6.8,6.64,6.7,1216350
2019-01-03 07:00:00,6.7,6.7,6.51,6.57,1672220
2019-01-04 07:00:00,6.57,6.62,6.43,6.57,1232910
