Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,4.02,4.18,3.9,4.18,2600
2018-09-18 07:00:00,3.9,3.94,3.9,3.94,500
2018-09-19 07:00:00,4.14,4.14,3.94,3.98,2000
2018-09-21 07:00:00,4.02,4.02,3.9,3.9,1800
2018-09-24 07:00:00,3.9,3.9,3.9,3.9,31
2018-09-25 07:00:00,3.9,3.9,3.9,3.9,2500
2018-09-26 07:00:00,4.02,4.02,4.02,4.02,1000
2018-09-27 07:00:00,4.06,4.06,4.02,4.02,800
2018-10-01 07:00:00,4.1,4.1,3.98,3.98,2449
2018-10-02 07:00:00,3.98,3.98,3.98,3.98,100
2018-10-03 07:00:00,3.94,3.98,3.77,3.98,334
2018-10-04 07:00:00,3.98,3.98,3.73,3.98,3612
2018-10-09 07:00:00,3.94,3.94,3.9,3.9,200
2018-10-11 07:00:00,3.61,3.61,3.61,3.61,509
2018-10-12 07:00:00,3.86,3.86,3.86,3.86,100
2018-10-15 07:00:00,3.61,3.94,3.61,3.94,400
2018-10-17 07:00:00,3.57,3.86,3.57,3.86,300
2018-10-22 07:00:00,3.86,3.86,3.86,3.86,17
2018-10-23 07:00:00,3.57,3.57,3.57,3.57,373
2018-10-24 07:00:00,3.73,3.73,3.73,3.73,200
2018-10-26 07:00:00,3.44,3.65,3.4,3.61,848
2018-10-29 07:00:00,3.61,3.61,3.61,3.61,120
2018-10-30 07:00:00,3.61,3.61,3.61,3.61,2310
2018-10-31 07:00:00,3.32,3.69,3.32,3.44,500
2018-11-01 07:00:00,3.28,3.61,3.28,3.61,248
2018-11-05 07:00:00,3.57,3.57,3.53,3.53,5441
2018-11-08 07:00:00,3.53,3.53,3.53,3.53,1
2018-11-09 07:00:00,3.32,3.73,3.2,3.2,7400
2018-11-12 07:00:00,3.49,3.49,3.49,3.49,258
2018-11-13 07:00:00,3.73,3.82,3.4,3.69,12000
2018-11-14 07:00:00,3.69,3.69,3.69,3.69,78
2018-11-15 07:00:00,3.44,3.49,3.44,3.49,200
2018-11-19 07:00:00,3.28,3.49,3.28,3.49,305
2018-11-20 07:00:00,3.24,3.49,3.24,3.49,1300
2018-11-21 07:00:00,3.24,3.44,3.24,3.44,400
2018-11-22 07:00:00,3.44,3.44,3.44,3.44,30
2018-11-26 07:00:00,3.24,3.61,3.24,3.61,1800
2018-11-28 07:00:00,3.9,3.9,3.9,3.9,100
2018-11-29 07:00:00,4.18,4.18,3.53,3.65,1911
2018-11-30 07:00:00,3.32,3.73,3.32,3.73,2259
2018-12-03 07:00:00,3.86,3.86,3.86,3.86,100
2018-12-04 07:00:00,3.49,4.18,3.49,3.65,15600
2018-12-05 07:00:00,3.49,3.49,3.49,3.49,340
2018-12-06 07:00:00,3.77,3.77,3.77,3.77,100
2018-12-07 07:00:00,3.73,4.02,3.49,3.49,500
2018-12-10 07:00:00,3.32,3.69,3.32,3.69,1100
2018-12-13 07:00:00,3.53,3.57,3.53,3.53,1100
2018-12-14 07:00:00,3.61,3.65,3.61,3.61,4000
2018-12-17 07:00:00,3.36,3.73,3.36,3.73,300
2018-12-19 07:00:00,3.36,3.65,3.36,3.65,500
2018-12-20 07:00:00,3.36,3.65,3.36,3.65,1401
2018-12-21 07:00:00,3.4,3.69,3.36,3.65,500
2018-12-24 07:00:00,3.65,3.65,3.65,3.65,1
2018-12-26 07:00:00,3.36,3.49,3.36,3.49,1100
2018-12-27 07:00:00,3.32,3.49,3.32,3.49,1900
2018-12-28 07:00:00,3.49,3.65,3.49,3.65,8900
2019-01-02 07:00:00,3.4,3.53,3.4,3.53,2134
2019-01-03 07:00:00,3.36,3.53,3.28,3.53,1920
2019-01-04 07:00:00,3.53,3.53,3.53,3.53,10
2019-01-07 07:00:00,3.4,3.65,3.4,3.65,2400
2019-01-10 07:00:00,3.36,3.49,3.32,3.32,7848
2019-01-11 07:00:00,3.32,3.32,3.28,3.32,2222
2019-01-15 07:00:00,3.32,3.32,3.32,3.32,101
2019-01-17 07:00:00,3.28,3.28,3.28,3.28,4100
2019-01-18 07:00:00,3.28,3.28,3.28,3.28,1
2019-01-21 07:00:00,3.28,3.28,3.28,3.28,700
2019-01-23 07:00:00,3.2,3.28,3.2,3.28,200
2019-01-25 07:00:00,3.24,3.24,3.24,3.24,100
2019-01-28 07:00:00,3.24,3.24,3.24,3.24,20
2019-01-30 07:00:00,3.24,3.24,3.24,3.24,10
2019-01-31 07:00:00,3.24,3.24,3.24,3.24,5
2019-02-11 07:00:00,3.12,3.28,2.99,3.24,15672
2019-02-12 07:00:00,3.28,3.28,3.2,3.2,7500
2019-02-14 07:00:00,3.2,3.36,3.2,3.36,200
2019-02-15 07:00:00,3.36,3.36,3.36,3.36,10
2019-02-18 07:00:00,3.2,3.2,3.2,3.2,200
2019-02-19 07:00:00,3.16,3.28,3.16,3.28,2305
2019-02-20 07:00:00,3.08,3.28,2.99,3.28,1561
2019-02-26 07:00:00,3.2,3.2,3.12,3.12,350
2019-02-27 07:00:00,2.99,3.2,2.99,3.2,2011
2019-03-01 07:00:00,2.99,3.16,2.99,3.16,300
2019-03-04 07:00:00,3.08,3.08,3.08,3.08,100
2019-03-05 07:00:00,3.16,3.28,3.16,3.28,1100
2019-03-06 07:00:00,3.28,3.28,2.95,3.2,11610
2019-03-07 07:00:00,2.99,3.24,2.99,3.24,700
2019-03-08 07:00:00,3.08,3.24,3.08,3.24,5418
2019-03-11 07:00:00,2.99,3.16,2.99,2.99,1600
2019-03-12 07:00:00,2.99,2.99,2.99,2.99,10
2019-03-13 07:00:00,2.99,2.99,2.99,2.99,30
2019-03-14 07:00:00,3.08,3.08,3.08,3.08,1000
2019-03-15 07:00:00,2.99,2.99,2.99,2.99,400
2019-03-18 07:00:00,3.12,3.12,2.99,2.99,10548
2019-03-19 07:00:00,3.08,3.08,3.08,3.08,1000
2019-03-20 07:00:00,2.99,2.99,2.99,2.99,2434
2019-03-25 07:00:00,3.08,3.08,3.08,3.08,1100
2019-03-26 07:00:00,2.95,2.99,2.91,2.99,1414
2019-03-28 07:00:00,2.91,2.99,2.91,2.99,2400
2019-03-29 07:00:00,3.08,3.08,2.95,2.99,8400
2019-04-01 07:00:00,3.04,3.16,2.99,3.04,23400
2019-04-02 07:00:00,3.12,3.12,3.08,3.08,1200
2019-04-03 07:00:00,3.12,3.32,3.12,3.16,4935
2019-04-04 07:00:00,3.16,3.2,3.12,3.2,9900
2019-04-05 07:00:00,3.2,3.24,3.2,3.24,4400
2019-04-08 07:00:00,3.08,3.08,3.08,3.08,15000
2019-04-09 07:00:00,3.12,3.12,3.08,3.08,2500
2019-04-10 07:00:00,3.16,3.2,3.08,3.2,10200
2019-04-11 07:00:00,3.16,3.2,3.16,3.2,2000
2019-04-12 07:00:00,3.24,3.28,3.24,3.28,1200
2019-04-16 07:00:00,3.24,3.28,3.2,3.28,1700
2019-04-17 07:00:00,3.28,3.28,3.28,3.28,1500
2019-04-18 07:00:00,3.36,3.36,3.28,3.32,20300
2019-04-19 07:00:00,3.4,3.4,3.36,3.36,600
2019-04-22 07:00:00,3.44,3.57,3.44,3.57,5900
2019-04-24 07:00:00,3.32,3.32,3.32,3.32,7000
2019-04-25 07:00:00,3.36,3.65,3.32,3.49,13400
2019-05-02 07:00:00,3.32,3.53,3.32,3.53,2800
2019-05-03 07:00:00,3.49,3.53,3.28,3.28,1700
2019-05-06 07:00:00,3.28,3.4,3.24,3.4,4900
2019-05-07 07:00:00,3.32,3.49,3.32,3.49,3800
2019-05-08 07:00:00,3.49,3.49,3.49,3.49,1700
2019-05-09 07:00:00,3.32,3.44,3.32,3.44,700
2019-05-10 07:00:00,3.4,3.4,3.4,3.4,200
2019-05-13 07:00:00,3.36,3.36,3.36,3.36,4000
2019-05-14 07:00:00,3.36,3.4,3.36,3.4,3200
2019-05-15 07:00:00,3.4,3.4,3.4,3.4,2000
2019-05-16 07:00:00,3.49,3.57,3.49,3.57,2100
2019-05-17 07:00:00,3.36,3.36,3.36,3.36,300
2019-05-20 07:00:00,3.44,3.44,3.44,3.44,200
2019-05-21 07:00:00,3.44,3.44,3.44,3.44,100
2019-05-24 07:00:00,3.49,3.49,3.49,3.49,100
