Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,4.33,4.33,4.3,4.3,3000
2018-09-19 07:00:00,4.3,4.3,4.24,4.3,1520
2018-09-20 07:00:00,4.3,4.3,4.24,4.24,1780
2018-09-21 07:00:00,4.17,4.24,4.08,4.24,100100
2018-09-24 07:00:00,4.24,4.3,4.2,4.2,42020
2018-09-25 07:00:00,4.11,4.33,4.08,4.3,116210
2018-09-26 07:00:00,4.3,4.3,4.28,4.3,8210
2018-09-27 07:00:00,4.36,4.36,4.24,4.3,3240
2018-09-28 07:00:00,4.3,4.3,4.27,4.3,16750
2018-10-01 07:00:00,4.3,4.33,4.3,4.31,146020
2018-10-02 07:00:00,4.3,4.31,4.3,4.31,38760
2018-10-03 07:00:00,4.33,4.36,4.3,4.3,8020
2018-10-04 07:00:00,4.3,4.33,4.3,4.3,19010
2018-10-05 07:00:00,4.27,4.27,4.24,4.24,27040
2018-10-08 07:00:00,4.24,4.27,4.19,4.27,41590
2018-10-09 07:00:00,4.2,4.2,4.17,4.17,11500
2018-10-10 07:00:00,4.17,4.28,4.14,4.28,4700
2018-10-11 07:00:00,4.06,4.08,4.0,4.08,24630
2018-10-12 07:00:00,4.17,4.17,4.11,4.11,2240
2018-10-15 07:00:00,4.14,4.14,4.11,4.11,9800
2018-10-16 07:00:00,4.11,4.2,4.08,4.2,4000
2018-10-17 07:00:00,4.2,4.24,4.14,4.24,17910
2018-10-18 07:00:00,4.24,4.24,4.2,4.2,12910
2018-10-22 07:00:00,4.2,4.2,4.17,4.17,3200
2018-10-23 07:00:00,4.17,4.2,4.11,4.17,14800
2018-10-24 07:00:00,4.2,4.2,4.16,4.16,26880
2018-10-29 07:00:00,4.08,4.17,4.08,4.17,140
2018-10-30 07:00:00,4.08,4.08,4.08,4.08,40
2018-10-31 07:00:00,4.17,4.17,4.17,4.17,8200
2018-11-01 07:00:00,4.17,4.2,4.17,4.2,7000
2018-11-02 07:00:00,4.2,4.36,4.2,4.27,55730
2018-11-05 07:00:00,4.31,4.31,4.27,4.27,5300
2018-11-06 07:00:00,4.24,4.33,4.24,4.27,31430
2018-11-07 07:00:00,4.31,4.31,4.31,4.31,160
2018-11-08 07:00:00,4.33,4.33,4.33,4.33,10
2018-11-12 07:00:00,4.31,4.33,4.24,4.24,25020
2018-11-13 07:00:00,4.24,4.27,4.24,4.24,1500
2018-11-14 07:00:00,4.3,4.3,4.3,4.3,10
2018-11-19 07:00:00,4.08,4.3,4.08,4.3,2060
2018-11-20 07:00:00,4.3,4.3,4.3,4.3,30
2018-11-21 07:00:00,4.24,4.27,4.2,4.22,104790
2018-11-22 07:00:00,4.22,4.22,4.2,4.2,22500
2018-11-23 07:00:00,4.2,4.27,4.2,4.2,60580
2018-11-26 07:00:00,4.22,4.22,4.22,4.22,22620
2018-11-27 07:00:00,4.24,4.24,4.24,4.24,1000
2018-11-29 07:00:00,4.2,4.3,4.08,4.3,7880
2018-12-03 07:00:00,4.35,4.35,4.17,4.25,7790
2018-12-04 07:00:00,4.14,4.3,3.97,4.27,7820
2018-12-05 07:00:00,4.08,4.3,4.08,4.3,21840
2018-12-06 07:00:00,4.24,4.3,4.17,4.3,18050
2018-12-07 07:00:00,4.3,4.33,4.3,4.33,1050
2018-12-10 07:00:00,4.33,4.33,4.19,4.19,6010
2018-12-11 07:00:00,4.3,4.3,4.17,4.27,43260
2018-12-13 07:00:00,4.3,4.3,4.3,4.3,350
2018-12-14 07:00:00,4.33,4.36,4.33,4.36,1860
2018-12-19 07:00:00,4.39,4.39,4.08,4.38,15940
2018-12-20 07:00:00,4.38,4.39,4.24,4.33,4190
2018-12-21 07:00:00,4.24,4.27,4.24,4.27,2170
2018-12-24 07:00:00,4.39,4.39,4.14,4.24,6710
2018-12-25 07:00:00,4.31,4.33,4.08,4.24,18350
2018-12-26 07:00:00,4.27,4.27,4.08,4.24,47660
2018-12-27 07:00:00,4.24,4.27,4.2,4.27,8030
2018-12-28 07:00:00,4.25,4.25,4.16,4.2,16700
2019-01-02 07:00:00,4.31,4.31,4.16,4.2,6200
2019-01-03 07:00:00,4.28,4.28,4.06,4.11,33920
2019-01-04 07:00:00,4.27,4.27,4.08,4.24,18490
2019-01-07 07:00:00,4.17,4.17,4.11,4.14,2030
2019-01-08 07:00:00,4.27,4.27,4.14,4.2,2580
2019-01-09 07:00:00,4.25,4.27,4.14,4.2,2080
2019-01-10 07:00:00,4.14,4.2,4.14,4.2,5010
2019-01-11 07:00:00,4.2,4.2,4.2,4.2,23000
2019-01-14 07:00:00,4.14,4.14,4.14,4.14,10
2019-01-15 07:00:00,4.17,4.17,4.11,4.14,5210
2019-01-16 07:00:00,4.14,4.19,4.14,4.19,2410
2019-01-17 07:00:00,4.14,4.22,4.08,4.22,72270
2019-01-18 07:00:00,4.11,4.11,4.11,4.11,100
2019-01-21 07:00:00,4.1,4.14,4.08,4.14,5020
2019-01-22 07:00:00,4.19,4.2,4.19,4.2,710
2019-01-23 07:00:00,4.14,4.27,4.14,4.27,7460
2019-01-24 07:00:00,4.25,4.28,4.14,4.28,760
2019-01-25 07:00:00,4.05,4.38,4.05,4.33,12290
2019-01-28 07:00:00,4.38,4.39,4.33,4.33,148180
2019-01-29 07:00:00,4.36,4.49,4.24,4.24,162640
2019-01-30 07:00:00,4.39,4.39,4.33,4.33,3010
2019-01-31 07:00:00,4.24,4.46,4.24,4.46,2030
2019-02-01 07:00:00,4.36,4.52,4.36,4.52,3440
2019-02-11 07:00:00,4.68,4.71,4.49,4.55,55490
2019-02-12 07:00:00,4.55,4.66,4.55,4.66,520
2019-02-13 07:00:00,4.46,4.55,4.46,4.55,3220
2019-02-14 07:00:00,4.49,4.55,4.46,4.55,22700
2019-02-15 07:00:00,4.46,4.46,4.46,4.46,590
2019-02-18 07:00:00,4.44,4.49,4.42,4.49,2030
2019-02-19 07:00:00,4.55,4.55,4.55,4.55,50
2019-02-20 07:00:00,4.55,4.55,4.55,4.55,600
2019-02-21 07:00:00,4.55,4.55,4.36,4.53,94040
2019-02-22 07:00:00,4.53,4.53,4.35,4.35,44940
2019-02-25 07:00:00,4.52,4.55,4.5,4.52,9530
2019-02-26 07:00:00,4.52,4.52,4.36,4.52,13280
2019-02-27 07:00:00,4.36,4.5,4.31,4.5,59860
2019-02-28 07:00:00,4.3,4.39,4.3,4.36,49840
2019-03-01 07:00:00,4.46,4.66,4.31,4.42,630
2019-03-04 07:00:00,4.49,4.49,4.49,4.49,230
2019-03-05 07:00:00,4.33,4.52,4.33,4.35,260
2019-03-06 07:00:00,4.46,4.47,4.36,4.47,540
2019-03-07 07:00:00,4.33,4.46,4.33,4.39,15080
2019-03-08 07:00:00,4.49,4.52,4.33,4.52,29000
2019-03-11 07:00:00,4.52,4.58,4.33,4.58,650840
2019-03-12 07:00:00,4.39,4.68,4.33,4.55,56920
2019-03-13 07:00:00,4.53,4.58,4.44,4.58,11660
2019-03-14 07:00:00,4.58,4.58,4.47,4.58,4520
2019-03-15 07:00:00,4.58,4.58,4.41,4.58,21640
2019-03-18 07:00:00,4.42,4.6,4.42,4.58,39010
2019-03-19 07:00:00,4.5,4.58,4.33,4.58,133180
2019-03-20 07:00:00,4.55,4.58,4.47,4.58,14100
2019-03-21 07:00:00,4.58,4.58,4.33,4.57,143230
2019-03-22 07:00:00,4.49,4.55,4.33,4.55,84750
2019-03-25 07:00:00,4.42,4.53,4.42,4.53,1100
