Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,3.05,3.05,3.03,3.03,26990
2018-09-18 07:00:00,3.04,3.04,3.0,3.0,40710
2018-09-19 07:00:00,3.02,3.04,3.02,3.03,13880
2018-09-20 07:00:00,3.03,3.03,3.02,3.02,23950
2018-09-21 07:00:00,3.02,3.02,3.02,3.02,40610
2018-09-24 07:00:00,3.03,3.03,3.02,3.03,26960
2018-09-25 07:00:00,3.03,3.03,3.02,3.03,26280
2018-09-26 07:00:00,3.03,3.06,3.02,3.03,80440
2018-09-27 07:00:00,3.09,3.09,3.03,3.07,19860
2018-09-28 07:00:00,3.08,3.09,3.07,3.08,13560
2018-10-01 07:00:00,3.09,3.09,2.92,3.08,63700
2018-10-02 07:00:00,3.09,3.22,3.07,3.18,49760
2018-10-03 07:00:00,3.37,3.37,3.13,3.15,23550
2018-10-04 07:00:00,3.15,3.22,3.06,3.14,42240
2018-10-05 07:00:00,3.14,3.31,3.12,3.31,58290
2018-10-08 07:00:00,3.2,3.24,3.2,3.24,1520
2018-10-09 07:00:00,3.25,3.25,3.11,3.11,16810
2018-10-10 07:00:00,3.11,3.21,3.11,3.18,1930
2018-10-11 07:00:00,3.14,3.17,2.96,3.12,14600
2018-10-12 07:00:00,3.09,3.14,3.09,3.14,8220
2018-10-15 07:00:00,3.1,3.1,3.1,3.1,8770
2018-10-16 07:00:00,3.2,3.2,3.08,3.08,6540
2018-10-17 07:00:00,3.1,3.1,3.08,3.09,16080
2018-10-18 07:00:00,3.1,3.13,3.09,3.1,24590
2018-10-19 07:00:00,3.1,3.11,3.07,3.11,11890
2018-10-22 07:00:00,3.04,3.08,2.98,3.06,21640
2018-10-23 07:00:00,3.06,3.2,3.06,3.09,27150
2018-10-24 07:00:00,3.12,3.14,3.06,3.06,1430
2018-10-25 07:00:00,3.06,3.06,3.0,3.03,1370
2018-10-26 07:00:00,3.03,3.04,3.02,3.02,4140
2018-10-29 07:00:00,3.02,3.03,3.02,3.02,14100
2018-10-30 07:00:00,3.02,3.14,2.95,3.14,30850
2018-10-31 07:00:00,3.03,3.12,3.0,3.12,5930
2018-11-01 07:00:00,3.02,3.2,3.02,3.2,1140
2018-11-02 07:00:00,3.14,3.14,3.0,3.0,2910
2018-11-05 07:00:00,3.14,3.14,3.0,3.0,6650
2018-11-06 07:00:00,3.0,3.13,3.0,3.0,28650
2018-11-07 07:00:00,3.0,3.03,3.0,3.03,42830
2018-11-08 07:00:00,3.09,3.09,3.0,3.03,44630
2018-11-09 07:00:00,3.03,3.09,3.03,3.04,1790
2018-11-12 07:00:00,3.04,3.09,3.03,3.08,14780
2018-11-13 07:00:00,3.08,3.09,3.08,3.08,2440
2018-11-14 07:00:00,3.05,3.08,3.04,3.04,17040
2018-11-15 07:00:00,3.04,3.06,3.04,3.05,15160
2018-11-16 07:00:00,3.05,3.06,3.05,3.05,12880
2018-11-19 07:00:00,3.05,3.09,3.04,3.04,14490
2018-11-20 07:00:00,3.09,3.14,3.09,3.12,9560
2018-11-21 07:00:00,3.12,3.14,3.09,3.11,14760
2018-11-22 07:00:00,3.11,3.14,3.11,3.12,28100
2018-11-23 07:00:00,3.12,3.14,3.11,3.14,23620
2018-11-26 07:00:00,3.12,3.14,3.12,3.12,21090
2018-11-27 07:00:00,3.12,3.13,3.12,3.12,5900
2018-11-28 07:00:00,3.12,3.14,3.12,3.13,1110
2018-11-29 07:00:00,3.13,3.14,3.12,3.12,8030
2018-11-30 07:00:00,3.13,3.13,3.12,3.12,12370
2018-12-03 07:00:00,3.13,3.13,3.13,3.13,16360
2018-12-04 07:00:00,3.13,3.16,3.13,3.14,25760
2018-12-05 07:00:00,3.13,3.13,3.13,3.13,17700
2018-12-06 07:00:00,3.13,3.2,3.13,3.2,30620
2018-12-07 07:00:00,3.2,3.2,3.2,3.2,14300
2018-12-10 07:00:00,3.2,3.25,3.2,3.22,61480
2018-12-11 07:00:00,3.22,3.25,3.21,3.25,22430
2018-12-12 07:00:00,3.24,3.29,3.24,3.29,8180
2018-12-13 07:00:00,3.29,3.3,3.27,3.27,7550
2018-12-14 07:00:00,3.27,3.31,3.27,3.27,33080
2018-12-17 07:00:00,3.29,3.31,3.27,3.27,14790
2018-12-18 07:00:00,3.31,3.31,3.27,3.27,22330
2018-12-19 07:00:00,3.27,3.27,3.26,3.26,23270
2018-12-20 07:00:00,3.27,3.27,3.26,3.26,12540
2018-12-21 07:00:00,3.31,3.31,3.25,3.25,11010
2018-12-24 07:00:00,3.25,3.25,3.25,3.25,3040
2018-12-25 07:00:00,3.2,3.2,3.15,3.15,7370
2018-12-27 07:00:00,3.15,3.23,3.15,3.19,40
2018-12-28 07:00:00,3.2,3.2,3.2,3.2,110
2019-01-02 07:00:00,3.25,3.25,3.21,3.21,60
2019-01-03 07:00:00,3.23,3.23,3.21,3.21,1050
2019-01-04 07:00:00,3.2,3.21,3.2,3.21,4900
2019-01-07 07:00:00,3.2,3.2,3.18,3.18,2350
2019-01-08 07:00:00,3.19,3.21,3.19,3.21,3470
2019-01-09 07:00:00,3.21,3.26,3.21,3.26,2160
2019-01-10 07:00:00,3.25,3.25,3.25,3.25,30
2019-01-11 07:00:00,3.25,3.25,3.19,3.25,4000
2019-01-14 07:00:00,3.25,3.25,3.25,3.25,2010
2019-01-16 07:00:00,3.26,3.26,3.26,3.26,1020
2019-01-17 07:00:00,3.26,3.27,3.21,3.26,14400
2019-01-18 07:00:00,3.26,3.26,3.26,3.26,4700
2019-01-21 07:00:00,3.26,3.45,3.26,3.44,85300
2019-01-22 07:00:00,3.38,3.44,3.38,3.43,21080
2019-01-23 07:00:00,3.37,3.37,3.37,3.37,7020
2019-01-24 07:00:00,3.37,3.42,3.37,3.42,11040
2019-01-25 07:00:00,3.4,3.42,3.4,3.42,9020
2019-01-28 07:00:00,3.42,3.42,3.37,3.37,7170
