Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,7.71,8.19,7.71,8.03,113580
2018-09-18 07:00:00,8.03,8.13,7.95,7.97,80160
2018-09-19 07:00:00,7.92,8.13,7.92,8.08,104200
2018-09-20 07:00:00,8.19,8.19,8.05,8.16,32110
2018-09-21 07:00:00,8.51,8.51,8.19,8.29,46910
2018-09-24 07:00:00,8.29,8.29,7.87,8.21,73780
2018-09-25 07:00:00,8.29,8.29,8.03,8.19,16030
2018-09-26 07:00:00,8.03,8.19,7.87,7.95,45340
2018-09-27 07:00:00,7.97,8.08,7.89,8.08,54510
2018-09-28 07:00:00,8.13,8.19,8.13,8.19,5530
2018-10-01 07:00:00,8.29,8.29,7.92,8.13,37030
2018-10-02 07:00:00,8.19,8.19,7.92,8.13,36100
2018-10-03 07:00:00,8.11,8.13,7.92,8.13,54160
2018-10-04 07:00:00,8.03,8.19,7.97,8.19,30640
2018-10-05 07:00:00,8.27,8.75,8.03,8.75,96580
2018-10-08 07:00:00,9.34,9.34,8.83,9.34,112270
2018-10-09 07:00:00,9.82,9.98,9.63,9.98,115030
2018-10-10 07:00:00,10.6,10.6,10.38,10.49,94340
2018-10-11 07:00:00,9.79,10.49,9.77,10.11,103650
2018-10-12 07:00:00,9.66,10.44,9.63,10.44,74190
2018-10-15 07:00:00,10.44,11.16,10.44,11.16,165330
2018-10-16 07:00:00,11.02,11.72,10.97,11.45,121060
2018-10-17 07:00:00,11.45,11.56,10.97,11.24,94420
2018-10-18 07:00:00,10.92,10.97,10.46,10.46,227500
2018-10-19 07:00:00,10.17,11.08,9.77,10.76,29760
2018-10-22 07:00:00,10.28,11.05,10.03,10.76,55240
2018-10-23 07:00:00,10.11,10.73,10.06,10.73,16770
2018-10-24 07:00:00,10.84,10.84,10.06,10.65,34690
2018-10-25 07:00:00,10.11,10.57,10.11,10.57,31780
2018-10-26 07:00:00,10.57,11.24,10.09,10.97,1930
2018-10-29 07:00:00,10.97,10.97,10.28,10.7,25560
2018-10-30 07:00:00,10.97,10.97,10.54,10.7,29640
2018-10-31 07:00:00,10.7,10.7,10.22,10.6,15260
2018-11-01 07:00:00,10.65,10.65,10.54,10.54,2810
2018-11-02 07:00:00,10.17,10.65,10.17,10.54,7480
2018-11-05 07:00:00,10.7,10.7,10.25,10.6,7060
2018-11-06 07:00:00,10.28,10.6,10.25,10.49,14750
2018-11-07 07:00:00,10.19,10.44,10.06,10.33,19460
2018-11-08 07:00:00,10.44,10.68,10.25,10.6,14280
2018-11-09 07:00:00,10.19,10.6,10.19,10.6,4610
2018-11-12 07:00:00,10.44,10.7,10.44,10.7,10710
2018-11-13 07:00:00,10.33,10.7,10.33,10.65,3140
2018-11-14 07:00:00,10.6,10.65,10.44,10.6,16040
2018-11-15 07:00:00,10.33,10.57,10.33,10.49,19140
2018-11-16 07:00:00,10.81,10.81,10.44,10.65,13860
2018-11-19 07:00:00,11.35,11.35,10.44,10.65,8520
2018-11-20 07:00:00,10.44,10.6,10.44,10.6,8580
2018-11-21 07:00:00,10.97,10.97,10.17,10.6,7180
2018-11-22 07:00:00,10.65,10.65,10.17,10.65,5230
2018-11-23 07:00:00,10.44,10.68,10.22,10.68,13220
2018-11-26 07:00:00,10.7,11.4,10.7,11.4,106430
2018-11-27 07:00:00,11.93,11.93,10.7,10.86,43970
2018-11-28 07:00:00,11.02,11.21,11.02,11.18,4470
2018-11-29 07:00:00,10.73,10.97,10.44,10.97,20200
2018-11-30 07:00:00,10.97,10.97,10.38,10.92,14050
2018-12-03 07:00:00,10.92,10.92,10.49,10.81,10700
2018-12-04 07:00:00,10.81,10.94,10.6,10.94,60480
2018-12-05 07:00:00,10.94,11.08,10.94,10.97,18170
2018-12-06 07:00:00,11.08,11.08,10.97,10.97,25300
2018-12-07 07:00:00,11.05,11.05,10.81,10.81,10000
2018-12-10 07:00:00,11.29,11.29,10.17,11.13,69150
2018-12-11 07:00:00,11.13,11.13,10.92,11.08,18840
2018-12-12 07:00:00,10.7,11.13,10.7,11.1,15610
2018-12-13 07:00:00,10.86,11.1,10.84,11.1,15110
2018-12-14 07:00:00,11.1,11.13,10.94,11.1,16900
2018-12-17 07:00:00,11.64,11.67,11.25,11.5,17400
2018-12-18 07:00:00,11.25,11.25,10.99,11.19,35460
2018-12-19 07:00:00,10.85,11.13,10.85,11.13,27860
2018-12-20 07:00:00,11.13,11.13,11.02,11.13,32190
2018-12-21 07:00:00,11.25,11.25,10.96,11.13,24030
2018-12-24 07:00:00,11.13,11.13,10.71,10.99,30000
2018-12-25 07:00:00,10.99,10.99,10.68,10.99,7310
2018-12-26 07:00:00,10.99,10.99,10.68,10.96,5740
2018-12-27 07:00:00,10.96,10.96,10.68,10.96,3710
2018-12-28 07:00:00,10.96,10.96,10.96,10.96,2020
2019-01-02 07:00:00,10.96,10.96,10.46,10.96,21140
2019-01-03 07:00:00,10.57,10.96,10.4,10.96,16830
2019-01-04 07:00:00,10.68,10.91,10.68,10.85,13790
2019-01-07 07:00:00,10.68,10.8,10.51,10.74,12350
2019-01-08 07:00:00,10.68,10.68,10.4,10.68,6460
2019-01-09 07:00:00,10.71,10.71,10.12,10.63,5500
2019-01-10 07:00:00,10.57,10.57,9.9,9.9,6600
2019-01-11 07:00:00,10.32,10.32,9.22,9.5,100330
2019-01-14 07:00:00,9.56,9.56,9.56,9.56,5440
2019-01-15 07:00:00,9.84,9.84,9.61,9.64,3150
2019-01-16 07:00:00,9.56,9.64,9.33,9.64,9350
2019-01-17 07:00:00,9.85,9.85,9.49,9.64,10220
2019-01-18 07:00:00,9.55,9.55,9.02,9.25,17140
2019-01-21 07:00:00,9.52,9.55,9.43,9.43,2420
2019-01-22 07:00:00,9.43,9.43,9.43,9.43,1510
2019-01-23 07:00:00,9.14,9.37,9.14,9.31,5770
2019-01-24 07:00:00,9.43,9.43,9.25,9.37,4000
2019-01-25 07:00:00,9.14,9.37,8.96,9.25,6230
2019-01-28 07:00:00,9.25,9.31,9.25,9.31,9330
2019-01-29 07:00:00,9.31,9.31,8.96,9.08,2240
2019-01-30 07:00:00,9.25,9.25,8.96,9.19,5850
2019-01-31 07:00:00,8.66,9.14,8.6,8.6,4910
2019-02-01 07:00:00,9.08,9.19,8.51,9.19,20230
2019-02-11 07:00:00,9.19,9.19,8.96,9.19,18610
2019-02-12 07:00:00,9.19,9.19,9.14,9.14,650
2019-02-13 07:00:00,8.51,9.14,8.51,9.08,3540
2019-02-14 07:00:00,9.14,9.14,9.08,9.08,4030
2019-02-15 07:00:00,9.08,9.19,8.96,9.08,4920
2019-02-18 07:00:00,9.61,9.61,8.69,9.08,8440
2019-02-19 07:00:00,9.49,9.49,8.6,8.6,6710
2019-02-20 07:00:00,8.03,9.05,8.03,8.9,14210
2019-02-21 07:00:00,8.84,8.9,8.36,8.9,18440
2019-02-22 07:00:00,8.9,8.9,8.3,8.84,34500
2019-02-25 07:00:00,8.3,8.72,8.3,8.72,29160
2019-02-26 07:00:00,8.72,8.72,8.39,8.6,5370
2019-02-27 07:00:00,8.6,8.66,8.24,8.63,8340
2019-02-28 07:00:00,8.63,8.63,8.36,8.51,4750
2019-03-01 07:00:00,8.24,8.57,8.12,8.12,90810
2019-03-04 07:00:00,8.0,8.57,8.0,8.36,41700
2019-03-05 07:00:00,8.36,8.36,8.12,8.36,7680
2019-03-06 07:00:00,8.48,8.48,7.94,8.33,19130
2019-03-07 07:00:00,8.36,8.36,8.06,8.33,27100
2019-03-08 07:00:00,8.27,8.36,8.09,8.36,4230
2019-03-11 07:00:00,8.18,8.21,7.82,8.18,43820
2019-03-12 07:00:00,7.82,8.15,7.64,7.64,66560
2019-03-13 07:00:00,7.4,7.64,7.13,7.13,146610
2019-03-14 07:00:00,6.96,7.16,6.66,7.16,126120
2019-03-15 07:00:00,7.16,7.22,6.87,6.93,34800
2019-03-18 07:00:00,6.48,6.96,6.48,6.93,60020
2019-03-19 07:00:00,7.11,7.11,6.87,7.08,31260
2019-03-20 07:00:00,6.93,7.08,6.87,7.05,26110
2019-03-21 07:00:00,6.93,7.05,6.9,6.9,17560
2019-03-22 07:00:00,7.05,7.05,6.87,6.93,36630
2019-03-25 07:00:00,6.93,6.99,6.63,6.63,23590
2019-03-26 07:00:00,6.96,6.96,6.51,6.87,10410
2019-03-27 07:00:00,6.87,7.05,6.75,6.81,34880
2019-03-28 07:00:00,6.87,6.93,6.81,6.9,7900
2019-03-29 07:00:00,6.87,6.9,6.81,6.9,14980
2019-04-01 07:00:00,7.05,7.05,6.81,6.96,8100
2019-04-02 07:00:00,6.87,6.99,6.81,6.99,5880
2019-04-03 07:00:00,6.87,6.99,6.81,6.99,15700
2019-04-04 07:00:00,6.99,6.99,6.87,6.99,9350
2019-04-05 07:00:00,6.93,6.99,6.87,6.99,10840
2019-04-08 07:00:00,6.93,6.99,6.87,6.99,18950
2019-04-09 07:00:00,6.99,6.99,6.87,6.99,6360
2019-04-10 07:00:00,6.99,6.99,6.87,6.87,16950
2019-04-11 07:00:00,6.57,7.16,6.57,6.93,23170
2019-04-12 07:00:00,7.05,7.05,6.93,6.99,2910
2019-04-16 07:00:00,6.87,6.99,6.57,6.99,26390
2019-04-17 07:00:00,6.69,6.93,6.57,6.9,64050
2019-04-18 07:00:00,6.93,6.93,6.75,6.93,7100
2019-04-19 07:00:00,6.69,6.9,6.69,6.87,5980
2019-04-22 07:00:00,6.72,6.87,6.69,6.84,6300
2019-04-23 07:00:00,6.87,6.87,6.69,6.84,7390
2019-04-24 07:00:00,6.9,6.93,6.75,6.84,26580
2019-04-25 07:00:00,6.75,6.84,6.75,6.84,6130
2019-04-26 07:00:00,6.75,6.84,6.75,6.84,4920
2019-05-02 07:00:00,6.81,6.84,6.81,6.84,15320
2019-05-03 07:00:00,6.84,6.84,6.75,6.84,5130
2019-05-06 07:00:00,6.75,6.81,6.69,6.81,9670
2019-05-07 07:00:00,6.75,6.81,6.75,6.75,7820
2019-05-08 07:00:00,6.81,6.81,6.72,6.78,3760
2019-05-09 07:00:00,6.72,6.81,6.72,6.81,10360
2019-05-10 07:00:00,6.84,6.87,6.75,6.81,11640
2019-05-13 07:00:00,6.84,6.87,6.75,6.84,15670
2019-05-14 07:00:00,6.87,7.31,6.84,7.31,81420
2019-05-15 07:00:00,7.82,7.82,7.76,7.82,34150
2019-05-16 07:00:00,8.18,8.36,8.18,8.24,105230
2019-05-17 07:00:00,8.06,8.24,7.82,8.18,42750
2019-05-20 07:00:00,7.94,8.06,7.64,7.85,24350
2019-05-21 07:00:00,7.7,7.7,7.31,7.58,18270
2019-05-22 07:00:00,7.16,7.46,7.13,7.16,19130
2019-05-23 07:00:00,7.16,7.64,7.16,7.64,29460
2019-05-24 07:00:00,8.06,8.06,7.76,7.76,30350
2019-05-27 07:00:00,7.97,7.97,7.46,7.7,16000
2019-05-28 07:00:00,7.7,8.0,7.28,8.0,22500
2019-05-29 07:00:00,8.09,8.09,7.76,8.03,15780
2019-05-30 07:00:00,8.03,8.03,7.7,8.03,23320
2019-05-31 07:00:00,8.03,8.03,7.76,8.0,60060
2019-06-03 07:00:00,8.0,8.0,7.7,7.82,19050
2019-06-04 07:00:00,7.94,7.94,7.82,7.82,1240
2019-06-05 07:00:00,7.46,7.82,7.28,7.73,105740
2019-06-06 07:00:00,7.46,7.73,7.46,7.46,58810
2019-06-07 07:00:00,7.61,7.76,7.61,7.64,88090
2019-06-10 07:00:00,7.58,7.61,7.4,7.49,37350
2019-06-11 07:00:00,7.49,7.49,7.19,7.19,34900
2019-06-12 07:00:00,7.4,7.64,7.4,7.55,29960
2019-06-13 07:00:00,7.52,7.82,7.52,7.76,46480
2019-06-14 07:00:00,7.73,7.88,7.73,7.88,14770
2019-06-17 07:00:00,7.94,8.03,7.76,7.79,15280
2019-06-18 07:00:00,7.88,7.88,7.85,7.85,3510
2019-06-19 07:00:00,7.73,7.82,7.4,7.73,13040
2019-06-20 07:00:00,7.85,7.85,7.73,7.76,25760
2019-06-21 07:00:00,7.76,7.76,7.7,7.76,14910
2019-06-24 07:00:00,7.73,7.76,7.58,7.58,11030
2019-06-25 07:00:00,7.82,7.88,7.64,7.64,20070
2019-06-26 07:00:00,7.88,7.88,7.67,7.82,1400
2019-06-27 07:00:00,7.88,7.88,7.7,7.76,12760
2019-06-28 07:00:00,7.7,7.7,7.7,7.7,7850
2019-07-01 07:00:00,7.76,7.76,7.7,7.7,6060
2019-07-02 07:00:00,7.88,7.88,7.7,7.7,9260
2019-07-03 07:00:00,7.7,7.73,7.64,7.73,4030
2019-07-04 07:00:00,7.82,7.82,7.64,7.76,3580
2019-07-05 07:00:00,7.7,7.7,7.4,7.52,8450
2019-07-08 07:00:00,7.58,7.76,7.55,7.7,6120
2019-07-09 07:00:00,7.7,7.73,7.58,7.67,8190
2019-07-10 07:00:00,7.7,7.7,7.46,7.64,3270
2019-07-11 07:00:00,7.52,7.7,7.52,7.64,17040
2019-07-12 07:00:00,7.64,7.64,7.58,7.64,10320
2019-07-15 07:00:00,7.76,7.76,7.58,7.67,14640
2019-07-16 07:00:00,7.52,7.76,7.52,7.7,6680
2019-07-17 07:00:00,7.64,7.7,7.64,7.7,56600
2019-07-18 07:00:00,7.76,7.76,7.64,7.64,13950
2019-07-19 07:00:00,7.64,7.64,7.58,7.64,11900
2019-07-22 07:00:00,7.64,7.64,7.22,7.22,330
2019-07-23 07:00:00,7.61,7.64,7.46,7.46,8650
2019-07-24 07:00:00,7.76,7.76,7.34,7.52,1270
2019-07-25 07:00:00,7.34,7.64,7.34,7.52,36910
2019-07-26 07:00:00,7.64,7.64,7.43,7.49,27080
2019-07-29 07:00:00,7.64,7.64,7.43,7.46,29160
2019-07-30 07:00:00,7.34,7.64,7.16,7.46,29490
2019-07-31 07:00:00,7.64,7.64,6.99,7.46,16410
2019-08-01 07:00:00,7.58,7.58,7.11,7.4,18890
2019-08-02 07:00:00,7.22,7.4,7.22,7.4,8930
2019-08-05 07:00:00,7.16,7.34,7.11,7.16,18740
2019-08-06 07:00:00,7.16,7.25,6.87,7.22,9830
2019-08-07 07:00:00,7.16,7.28,6.93,7.16,10040
2019-08-08 07:00:00,6.93,7.58,6.9,7.49,18020
2019-08-09 07:00:00,7.64,7.64,7.16,7.46,6150
2019-08-12 07:00:00,7.58,7.58,7.46,7.49,4040
2019-08-13 07:00:00,7.43,7.55,6.99,6.99,22350
2019-08-14 07:00:00,7.4,7.46,7.34,7.46,8490
2019-08-15 07:00:00,7.16,7.88,7.08,7.46,17460
2019-08-16 07:00:00,7.37,7.46,7.37,7.46,610
2019-08-19 07:00:00,7.46,7.76,7.46,7.46,3950
2019-08-20 07:00:00,7.46,7.64,7.46,7.46,10690
2019-08-21 07:00:00,7.46,7.52,7.19,7.46,11060
2019-08-22 07:00:00,7.46,7.46,7.4,7.46,17300
2019-08-23 07:00:00,7.4,7.4,7.19,7.19,4100
2019-08-26 07:00:00,7.22,7.25,7.16,7.16,6460
2019-08-27 07:00:00,7.08,7.16,6.99,7.16,14620
