Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,4.46,4.46,4.46,4.46,700
2018-09-18 07:00:00,4.87,4.87,4.87,4.87,3000
2018-09-20 07:00:00,4.43,4.43,4.43,4.43,100
2018-10-17 07:00:00,4.05,4.84,4.05,4.84,200
2018-11-16 07:00:00,5.32,5.32,5.32,5.32,100
2018-11-19 07:00:00,5.84,5.84,4.84,4.84,200
2018-12-27 07:00:00,5.32,5.32,5.32,5.32,100
2018-12-28 07:00:00,5.84,5.84,5.84,5.84,100
2019-01-03 07:00:00,6.38,6.38,6.38,6.38,100
2019-01-18 07:00:00,6.97,6.97,6.97,6.97,100
2019-01-24 07:00:00,6.97,6.97,6.97,6.97,1100
2019-01-30 07:00:00,6.97,6.97,6.97,6.97,1000
2019-02-11 07:00:00,6.32,6.97,6.32,6.97,200
2019-02-25 07:00:00,6.35,6.35,6.35,6.35,100
2019-02-26 07:00:00,6.9,6.9,5.8,5.8,200
2019-02-27 07:00:00,5.73,6.01,5.73,6.01,2400
2019-02-28 07:00:00,6.45,6.45,5.6,5.6,200
2019-03-01 07:00:00,5.15,6.11,5.15,5.53,400
2019-03-04 07:00:00,5.01,6.04,5.01,5.56,400
2019-03-05 07:00:00,6.08,6.08,5.8,5.8,300
2019-03-06 07:00:00,6.18,6.18,6.18,6.18,100
2019-03-07 07:00:00,5.63,5.63,5.63,5.63,100
2019-03-11 07:00:00,5.84,6.14,5.84,5.94,300
2019-03-12 07:00:00,6.18,6.18,6.04,6.04,25700
2019-03-13 07:00:00,6.18,6.18,6.18,6.18,10000
2019-03-14 07:00:00,6.18,6.18,6.18,6.18,10600
2019-03-15 07:00:00,6.72,6.72,6.18,6.18,9900
2019-03-18 07:00:00,6.43,6.79,6.22,6.22,11800
2019-03-19 07:00:00,6.43,6.82,6.29,6.29,10900
2019-03-20 07:00:00,6.89,6.89,6.46,6.46,1100
2019-03-21 07:00:00,6.5,6.5,6.5,6.5,19600
2019-03-22 07:00:00,6.18,6.18,6.18,6.18,100
2019-03-25 07:00:00,6.46,6.79,6.46,6.46,51700
2019-03-26 07:00:00,6.54,7.11,6.54,6.72,110400
2019-03-27 07:00:00,7.14,7.14,7.14,7.14,100
2019-03-28 07:00:00,6.82,7.68,6.82,7.14,35600
2019-04-03 07:00:00,6.82,7.14,6.82,7.14,28600
2019-04-05 07:00:00,6.5,6.5,6.5,6.5,100
2019-04-11 07:00:00,7.14,7.14,7.14,7.14,200
2019-04-17 07:00:00,7.07,7.07,7.07,7.07,2000
2019-04-18 07:00:00,7.07,7.07,6.47,6.47,900
2019-05-15 07:00:00,6.05,6.05,6.05,6.05,100
2019-05-28 07:00:00,5.72,5.72,5.72,5.72,100
2019-06-03 07:00:00,5.41,5.41,5.41,5.41,100
2019-07-22 07:00:00,5.64,5.64,4.92,4.92,11200
2019-07-23 07:00:00,5.41,5.41,5.41,5.41,100
2019-07-24 07:00:00,4.96,4.96,4.96,4.96,100
2019-08-05 07:00:00,5.45,5.45,5.45,5.45,100000
2019-08-06 07:00:00,4.96,5.98,4.96,5.98,200
2019-08-07 07:00:00,5.45,5.98,5.45,5.98,200
2019-08-09 07:00:00,5.45,5.98,5.45,5.98,200
2019-08-13 07:00:00,5.45,5.45,5.45,5.45,100
2019-08-14 07:00:00,4.96,5.75,4.96,5.75,200
2019-08-15 07:00:00,5.23,5.94,5.23,5.94,200
2019-08-16 07:00:00,5.41,5.94,5.41,5.94,10200
2019-08-19 07:00:00,5.41,5.94,5.41,5.94,200
2019-08-20 07:00:00,5.41,5.41,5.41,5.41,100
2019-08-21 07:00:00,4.96,5.72,4.96,5.72,200
2019-08-22 07:00:00,5.19,5.72,5.19,5.72,200
2019-08-23 07:00:00,5.45,5.45,5.45,5.45,11000
2019-08-26 07:00:00,4.96,5.49,4.96,5.49,200
2019-08-27 07:00:00,5.0,5.53,5.0,5.53,200
2019-08-29 07:00:00,5.04,5.53,5.04,5.53,200
2019-08-30 07:00:00,5.04,5.53,5.04,5.53,200
2019-09-03 07:00:00,5.04,5.53,5.04,5.53,200
2019-09-04 07:00:00,5.04,5.53,5.04,5.53,200
2019-09-05 07:00:00,5.04,5.64,5.04,5.53,20300
2019-09-06 07:00:00,5.04,5.53,5.04,5.53,200
2019-09-09 07:00:00,5.64,5.64,5.04,5.56,20300
2019-09-10 07:00:00,5.08,5.6,5.08,5.56,300
2019-09-11 07:00:00,5.64,5.64,5.45,5.56,20200
2019-09-13 07:00:00,5.45,5.56,5.45,5.56,200
2019-09-16 07:00:00,5.08,5.64,5.08,5.56,400
2019-09-17 07:00:00,5.08,5.56,5.08,5.56,200
2019-09-19 07:00:00,5.08,5.56,5.08,5.56,200
2019-09-20 07:00:00,5.08,5.56,5.08,5.56,200
2019-09-23 07:00:00,5.08,5.56,5.08,5.56,200
2019-09-24 07:00:00,5.08,5.56,5.08,5.56,200
2019-09-25 07:00:00,5.08,5.68,5.08,5.68,200
2019-09-26 07:00:00,5.15,5.64,5.15,5.26,110300
2019-09-27 07:00:00,5.26,5.26,5.08,5.08,20300
2019-09-30 07:00:00,4.89,5.08,4.89,5.08,10100
2019-10-01 07:00:00,4.89,4.89,4.89,4.89,100
2019-10-14 07:00:00,5.11,5.11,4.89,4.89,7400
2019-10-23 07:00:00,5.26,5.26,5.26,5.26,100
2019-10-24 07:00:00,4.89,5.64,4.89,5.64,200
2019-10-25 07:00:00,5.64,6.17,5.64,6.17,1100
2019-10-28 07:00:00,5.6,5.6,5.6,5.6,100
2019-10-30 07:00:00,5.11,5.11,5.11,5.11,100
2019-10-31 07:00:00,4.89,4.89,4.89,4.89,100
2019-11-01 07:00:00,5.38,5.38,4.92,5.34,400
2019-11-04 07:00:00,4.89,4.89,4.89,4.89,100
2019-11-14 07:00:00,4.62,5.3,4.62,5.3,200
2019-11-21 07:00:00,4.81,4.81,4.81,4.81,100
2019-11-22 07:00:00,5.26,5.26,5.26,5.26,100
2019-11-25 07:00:00,4.78,4.78,4.78,4.78,100
2019-11-29 07:00:00,5.23,5.23,5.23,5.23,100
2019-12-10 07:00:00,5.26,5.26,4.92,4.92,5100
2019-12-11 07:00:00,4.47,5.08,4.47,5.08,10100
2019-12-13 07:00:00,4.62,5.23,4.62,5.23,200
2019-12-16 07:00:00,4.81,5.26,4.81,5.08,10100
2019-12-17 07:00:00,4.78,5.26,4.78,4.78,200
2019-12-18 07:00:00,5.08,5.19,5.08,5.08,10000
2019-12-19 07:00:00,5.48,5.48,5.28,5.48,100
2019-12-20 07:00:00,5.04,5.04,5.04,5.04,100
2019-12-26 07:00:00,5.44,5.44,5.44,5.44,100
2019-12-27 07:00:00,4.96,5.88,4.96,5.88,300
2019-12-30 07:00:00,5.36,5.88,5.36,5.88,200
2019-12-31 07:00:00,5.36,6.35,5.32,6.31,2900
2020-01-02 07:00:00,5.76,5.76,5.76,5.76,100
2020-01-03 07:00:00,5.24,5.24,5.24,5.24,100
2020-01-08 07:00:00,5.08,5.08,5.08,5.08,100
2020-01-21 07:00:00,5.2,5.56,5.2,5.56,20100
2020-01-22 07:00:00,5.08,5.08,5.08,5.08,5000
2020-01-30 07:00:00,4.64,4.64,4.64,4.64,100
2020-02-17 07:00:00,5.08,5.08,5.08,5.08,100
2020-02-24 07:00:00,5.56,5.56,5.56,5.56,100
2020-02-27 07:00:00,5.24,5.24,5.24,5.24,2400
2020-03-03 07:00:00,5.64,5.64,5.64,5.64,600
2020-03-10 07:00:00,6.08,6.08,6.08,6.08,100
2020-03-12 07:00:00,6.31,6.31,6.31,6.31,100
2020-03-13 07:00:00,6.67,6.67,6.67,6.67,100
2020-03-17 07:00:00,7.07,7.07,7.07,7.07,100
2020-03-18 07:00:00,7.71,7.71,7.71,7.71,100
2020-03-24 07:00:00,6.95,6.95,6.95,6.95,100
