Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,2.66,2.68,2.63,2.64,162060
2018-09-18 07:00:00,2.64,2.64,2.62,2.63,207430
2018-09-19 07:00:00,2.64,2.8,2.63,2.73,290240
2018-09-20 07:00:00,2.74,2.76,2.72,2.74,130070
2018-09-21 07:00:00,2.74,2.76,2.68,2.72,106290
2018-09-24 07:00:00,2.69,2.73,2.68,2.72,81800
2018-09-25 07:00:00,2.69,2.72,2.68,2.68,120770
2018-09-26 07:00:00,2.71,2.71,2.67,2.68,100070
2018-09-27 07:00:00,2.68,2.7,2.64,2.66,298090
2018-09-28 07:00:00,2.67,2.67,2.64,2.64,259960
2018-10-01 07:00:00,2.67,2.69,2.64,2.64,222960
2018-10-02 07:00:00,2.64,2.67,2.63,2.64,212260
2018-10-03 07:00:00,2.64,2.65,2.63,2.64,150680
2018-10-04 07:00:00,2.64,2.65,2.63,2.64,172170
2018-10-05 07:00:00,2.64,2.64,2.61,2.64,159810
2018-10-08 07:00:00,2.64,2.64,2.61,2.64,109180
2018-10-09 07:00:00,2.64,2.74,2.6,2.64,282440
2018-10-10 07:00:00,2.61,2.67,2.61,2.64,141440
2018-10-11 07:00:00,2.61,2.61,2.46,2.46,286450
2018-10-12 07:00:00,2.35,2.46,2.35,2.42,279600
2018-10-15 07:00:00,2.42,2.46,2.34,2.36,240570
2018-10-16 07:00:00,2.36,2.37,2.33,2.35,190380
2018-10-17 07:00:00,2.37,2.38,2.35,2.36,219250
2018-10-18 07:00:00,2.36,2.37,2.34,2.36,125350
2018-10-19 07:00:00,2.33,2.33,2.25,2.29,109490
2018-10-22 07:00:00,2.29,2.35,2.25,2.32,322210
2018-10-23 07:00:00,2.35,2.48,2.33,2.41,507950
2018-10-24 07:00:00,2.41,2.42,2.33,2.37,118880
2018-10-25 07:00:00,2.37,2.37,2.25,2.3,204420
2018-10-26 07:00:00,2.35,2.38,2.26,2.3,37080
2018-10-29 07:00:00,2.28,2.31,2.24,2.24,165970
2018-10-30 07:00:00,2.25,2.25,2.18,2.22,171350
2018-10-31 07:00:00,2.22,2.25,2.17,2.17,116070
2018-11-01 07:00:00,2.19,2.22,2.16,2.18,277770
2018-11-02 07:00:00,2.2,2.2,2.16,2.17,196070
2018-11-05 07:00:00,2.18,2.2,2.17,2.17,154560
2018-11-06 07:00:00,2.17,2.22,2.17,2.19,433780
2018-11-07 07:00:00,2.2,2.2,2.18,2.19,53360
2018-11-08 07:00:00,2.17,2.2,2.17,2.19,141420
2018-11-09 07:00:00,2.19,2.19,2.16,2.16,152530
2018-11-12 07:00:00,2.14,2.14,2.02,2.02,252240
2018-11-13 07:00:00,1.99,2.01,1.95,1.96,212450
2018-11-14 07:00:00,1.96,2.07,1.96,2.05,331110
2018-11-15 07:00:00,2.05,2.06,2.0,2.03,146600
