Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,3.85,3.85,3.79,3.79,209080
2018-09-18 07:00:00,3.75,3.79,3.74,3.76,226980
2018-09-19 07:00:00,3.76,3.82,3.76,3.8,268560
2018-09-20 07:00:00,3.8,3.82,3.75,3.8,444090
2018-09-21 07:00:00,3.8,3.81,3.73,3.77,396860
2018-09-24 07:00:00,3.75,3.8,3.73,3.76,511330
2018-09-25 07:00:00,3.8,3.87,3.76,3.84,1000500
2018-09-26 07:00:00,3.85,3.97,3.85,3.89,740490
2018-09-27 07:00:00,3.89,3.93,3.85,3.86,345960
2018-09-28 07:00:00,3.86,3.89,3.64,3.77,467340
2018-10-01 07:00:00,3.82,3.82,3.75,3.76,404700
2018-10-02 07:00:00,3.76,3.78,3.73,3.73,373960
2018-10-03 07:00:00,3.73,3.78,3.72,3.73,433090
2018-10-04 07:00:00,3.73,3.75,3.72,3.74,369790
2018-10-05 07:00:00,3.69,3.75,3.69,3.72,244860
2018-10-08 07:00:00,3.72,3.73,3.69,3.69,153640
2018-10-09 07:00:00,3.72,3.72,3.66,3.66,339930
2018-10-10 07:00:00,3.66,3.69,3.65,3.66,246480
2018-10-11 07:00:00,3.63,3.63,3.41,3.41,906180
2018-10-12 07:00:00,3.23,3.59,3.23,3.51,713020
2018-10-15 07:00:00,3.51,3.56,3.47,3.51,294370
2018-10-16 07:00:00,3.5,3.55,3.47,3.54,152610
2018-10-17 07:00:00,3.54,3.56,3.5,3.55,257140
2018-10-18 07:00:00,3.55,3.55,3.47,3.48,145700
2018-10-19 07:00:00,3.47,3.47,3.36,3.4,283970
2018-10-22 07:00:00,3.4,3.45,3.35,3.36,318410
2018-10-23 07:00:00,3.4,3.4,3.18,3.23,390790
2018-10-24 07:00:00,3.19,3.34,3.18,3.21,302500
2018-10-25 07:00:00,3.07,3.15,3.07,3.11,409270
2018-10-26 07:00:00,3.18,3.18,3.09,3.11,221670
2018-10-29 07:00:00,3.08,3.14,3.01,3.04,125560
2018-10-30 07:00:00,3.05,3.06,3.02,3.03,254470
2018-10-31 07:00:00,3.03,3.09,3.0,3.03,498780
2018-11-01 07:00:00,3.05,3.07,2.97,2.97,249940
2018-11-02 07:00:00,2.97,3.17,2.85,3.17,2750930
2018-11-05 07:00:00,3.25,3.39,3.19,3.39,3158410
2018-11-06 07:00:00,3.41,3.45,3.34,3.34,591480
2018-11-07 07:00:00,3.26,3.27,3.11,3.17,1478960
2018-11-08 07:00:00,3.18,3.39,2.99,3.32,2015230
2018-11-09 07:00:00,3.25,3.32,3.18,3.18,233650
2018-11-12 07:00:00,3.09,3.18,3.07,3.16,268610
2018-11-13 07:00:00,3.01,3.13,3.01,3.03,317020
2018-11-14 07:00:00,3.03,3.07,3.02,3.03,212690
2018-11-15 07:00:00,3.03,3.05,2.95,2.99,289920
2018-11-16 07:00:00,3.0,3.02,2.95,2.95,173790
2018-11-19 07:00:00,2.92,3.01,2.92,2.93,305950
2018-11-20 07:00:00,2.84,2.93,2.81,2.86,826750
2018-11-21 07:00:00,2.85,2.88,2.83,2.86,271200
2018-11-22 07:00:00,2.87,2.89,2.85,2.88,257240
2018-11-23 07:00:00,2.9,2.9,2.85,2.85,202970
2018-11-26 07:00:00,2.85,2.86,2.81,2.81,189480
2018-11-27 07:00:00,2.82,2.82,2.64,2.74,519220
2018-11-28 07:00:00,2.77,2.77,2.71,2.72,380140
2018-11-29 07:00:00,2.73,2.73,2.7,2.7,187890
2018-11-30 07:00:00,2.66,2.72,2.53,2.53,305390
2018-12-03 07:00:00,2.56,2.7,2.56,2.7,690650
2018-12-04 07:00:00,2.79,2.79,2.69,2.71,326910
2018-12-05 07:00:00,2.65,2.68,2.62,2.67,252630
2018-12-06 07:00:00,2.67,2.68,2.63,2.63,128570
2018-12-07 07:00:00,2.64,2.7,2.64,2.66,142690
2018-12-10 07:00:00,2.66,2.67,2.64,2.64,95120
2018-12-11 07:00:00,2.64,2.68,2.64,2.65,84620
2018-12-12 07:00:00,2.64,2.69,2.61,2.64,333390
2018-12-13 07:00:00,2.64,2.65,2.63,2.64,397380
2018-12-14 07:00:00,2.64,2.65,2.62,2.64,143810
2018-12-17 07:00:00,2.64,2.64,2.58,2.59,192440
2018-12-18 07:00:00,2.55,2.58,2.52,2.55,260710
2018-12-19 07:00:00,2.56,2.56,2.51,2.51,196390
2018-12-20 07:00:00,2.47,2.53,2.45,2.46,107870
2018-12-21 07:00:00,2.45,2.45,2.39,2.44,168450
2018-12-24 07:00:00,2.44,2.46,2.44,2.44,91820
2018-12-25 07:00:00,2.39,2.41,2.28,2.3,415130
2018-12-26 07:00:00,2.3,2.33,2.24,2.29,131990
2018-12-27 07:00:00,2.35,2.38,2.27,2.32,86360
2018-12-28 07:00:00,2.28,2.33,2.27,2.33,180070
2019-01-02 07:00:00,2.33,2.35,2.28,2.28,142230
2019-01-03 07:00:00,2.32,2.33,2.18,2.18,139970
2019-01-04 07:00:00,2.18,2.18,2.1,2.18,187890
2019-01-07 07:00:00,2.18,2.23,2.18,2.22,130670
2019-01-08 07:00:00,2.26,2.37,2.25,2.37,354090
2019-01-09 07:00:00,2.36,2.42,2.3,2.37,200960
2019-01-10 07:00:00,2.39,2.39,2.35,2.38,93330
2019-01-11 07:00:00,2.38,2.39,2.32,2.37,71500
2019-01-14 07:00:00,2.37,2.41,2.3,2.41,194510
2019-01-15 07:00:00,2.37,2.43,2.37,2.41,83170
2019-01-16 07:00:00,2.41,2.41,2.37,2.38,149480
2019-01-17 07:00:00,2.37,2.38,2.34,2.37,66270
2019-01-18 07:00:00,2.39,2.39,2.34,2.36,64670
2019-01-21 07:00:00,2.33,2.37,2.27,2.27,231290
2019-01-22 07:00:00,2.33,2.33,2.26,2.26,72940
2019-01-23 07:00:00,2.25,2.37,2.25,2.37,286100
2019-01-24 07:00:00,2.37,2.37,2.33,2.36,96980
2019-01-25 07:00:00,2.34,2.36,2.33,2.33,35740
2019-01-28 07:00:00,2.28,2.36,2.28,2.36,62300
2019-01-29 07:00:00,2.33,2.44,2.32,2.44,403300
2019-01-30 07:00:00,2.44,2.46,2.4,2.4,105330
2019-01-31 07:00:00,2.4,2.4,2.36,2.36,73770
2019-02-01 07:00:00,2.36,2.38,2.34,2.38,99330
