Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,4.88,4.94,4.69,4.88,11504
2018-09-18 07:00:00,4.69,4.88,4.45,4.45,15200
2018-09-19 07:00:00,4.51,4.63,4.38,4.63,8175
2018-09-20 07:00:00,4.38,4.38,4.32,4.32,31700
2018-09-21 07:00:00,4.51,4.51,4.32,4.32,5296
2018-09-24 07:00:00,4.63,4.63,4.32,4.32,4610
2018-09-25 07:00:00,4.32,4.45,4.26,4.26,4500
2018-09-26 07:00:00,4.32,4.32,4.14,4.2,9200
2018-09-27 07:00:00,3.89,3.89,3.83,3.83,15700
2018-09-28 07:00:00,3.89,3.95,3.89,3.95,9600
2018-10-01 07:00:00,3.95,4.14,3.95,4.01,10100
2018-10-02 07:00:00,4.01,4.08,4.01,4.01,7000
2018-10-03 07:00:00,4.2,4.2,3.95,3.95,38400
2018-10-04 07:00:00,4.01,4.14,4.01,4.14,1100
2018-10-05 07:00:00,4.01,4.01,4.01,4.01,300
2018-10-08 07:00:00,4.51,4.51,4.32,4.32,2630
2018-10-09 07:00:00,4.01,4.01,4.01,4.01,2100
2018-10-10 07:00:00,4.45,4.45,4.45,4.45,2000
2018-10-11 07:00:00,3.89,3.89,3.83,3.83,3200
2018-10-12 07:00:00,4.2,4.2,4.2,4.2,100
2018-10-16 07:00:00,3.89,3.95,3.89,3.89,400
2018-10-17 07:00:00,3.89,3.89,3.89,3.89,200
2018-10-18 07:00:00,3.95,3.95,3.89,3.89,1400
2018-10-19 07:00:00,4.26,4.26,3.89,3.89,600
2018-10-22 07:00:00,3.89,3.89,3.77,3.83,2400
2018-10-23 07:00:00,4.26,4.26,3.52,3.7,13900
2018-10-24 07:00:00,4.26,4.26,4.26,4.26,2000
2018-10-25 07:00:00,3.7,3.7,3.7,3.7,4000
2018-10-26 07:00:00,3.7,3.7,3.7,3.7,1000
2018-10-29 07:00:00,3.7,3.7,3.7,3.7,900
2018-10-31 07:00:00,4.2,4.2,3.7,3.7,4000
2018-11-01 07:00:00,3.7,3.7,3.7,3.7,100
2018-11-02 07:00:00,3.7,3.7,3.58,3.58,7300
2018-11-05 07:00:00,3.7,3.7,3.7,3.7,5000
2018-11-06 07:00:00,3.7,3.7,3.7,3.7,6000
2018-11-07 07:00:00,3.7,3.7,3.7,3.7,1000
2018-11-08 07:00:00,3.7,3.7,3.7,3.7,910
2018-11-13 07:00:00,3.46,3.52,3.46,3.46,8400
2018-11-14 07:00:00,3.46,3.46,3.46,3.46,2000
2018-11-15 07:00:00,3.89,3.89,3.89,3.89,100
2018-11-16 07:00:00,3.95,3.95,3.95,3.95,100
2018-11-20 07:00:00,3.7,3.7,3.7,3.7,1000
2018-11-21 07:00:00,3.15,3.58,3.15,3.58,1100
2018-11-22 07:00:00,3.64,3.64,3.64,3.64,900
2018-11-23 07:00:00,3.83,3.83,3.83,3.83,400
2018-11-28 07:00:00,3.7,3.7,3.7,3.7,4905
2018-11-29 07:00:00,3.7,3.7,3.15,3.15,6700
2018-12-03 07:00:00,3.34,3.34,3.34,3.34,5
2018-12-04 07:00:00,3.34,3.34,3.34,3.34,100
2018-12-06 07:00:00,3.34,3.34,3.34,3.34,400
2018-12-10 07:00:00,3.4,3.4,3.34,3.34,900
2018-12-12 07:00:00,3.46,3.46,3.46,3.46,200
2018-12-13 07:00:00,3.46,3.46,3.46,3.46,1300
2018-12-14 07:00:00,3.89,3.89,3.89,3.89,100
2018-12-17 07:00:00,3.7,3.7,3.64,3.64,300
2018-12-18 07:00:00,4.2,4.2,4.2,4.2,100
2018-12-20 07:00:00,4.57,4.57,4.57,4.57,100
2018-12-24 07:00:00,4.82,4.82,4.82,4.82,100
2018-12-27 07:00:00,4.14,4.14,4.14,4.14,100
2018-12-28 07:00:00,4.76,4.76,4.76,4.76,100
