Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,3.83,3.94,3.83,3.9,626379
2018-09-18 07:00:00,3.85,3.9,3.81,3.9,372508
2018-09-19 07:00:00,3.9,4.01,3.88,3.96,598537
2018-09-20 07:00:00,3.98,4.1,3.98,4.05,465955
2018-09-21 07:00:00,4.05,4.12,3.94,4.07,512330
2018-09-24 07:00:00,4.14,4.14,4.01,4.05,301569
2018-09-25 07:00:00,4.05,4.1,4.01,4.05,420117
2018-09-26 07:00:00,4.05,4.16,4.05,4.1,518410
2018-09-27 07:00:00,4.1,4.14,4.05,4.1,360810
2018-09-28 07:00:00,4.12,4.12,4.03,4.1,243544
2018-10-01 07:00:00,4.1,4.1,4.03,4.05,244148
2018-10-02 07:00:00,4.05,4.23,4.03,4.23,832881
2018-10-03 07:00:00,4.3,4.3,4.16,4.23,329697
2018-10-04 07:00:00,4.18,4.25,4.18,4.25,297093
2018-10-05 07:00:00,4.21,4.25,4.05,4.1,746602
2018-10-08 07:00:00,4.05,4.1,4.03,4.1,213490
2018-10-09 07:00:00,4.1,4.1,4.03,4.07,179225
2018-10-10 07:00:00,4.05,4.05,3.92,3.94,433751
2018-10-11 07:00:00,3.88,3.88,3.61,3.61,693960
2018-10-12 07:00:00,3.61,3.76,3.45,3.76,721590
2018-10-15 07:00:00,3.76,3.76,3.54,3.63,146946
2018-10-16 07:00:00,3.65,3.76,3.59,3.72,81122
2018-10-17 07:00:00,3.74,3.81,3.7,3.7,197050
2018-10-18 07:00:00,3.7,3.76,3.68,3.68,105220
2018-10-19 07:00:00,3.61,3.74,3.54,3.74,58700
2018-10-22 07:00:00,3.76,3.76,3.61,3.61,148238
2018-10-23 07:00:00,3.63,3.63,3.43,3.54,258530
2018-10-24 07:00:00,3.54,3.56,3.43,3.48,92070
2018-10-25 07:00:00,3.45,3.45,3.23,3.39,325968
2018-10-26 07:00:00,3.43,3.45,3.26,3.34,250100
2018-10-29 07:00:00,3.41,3.41,3.21,3.34,191435
2018-10-30 07:00:00,3.3,3.34,3.3,3.32,116163
