Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,29.45,29.79,29.45,29.79,686
2018-09-18 07:00:00,29.72,29.79,29.72,29.79,3890
2018-09-19 07:00:00,29.79,29.79,29.79,29.79,6124
2018-09-20 07:00:00,29.79,30.13,29.79,29.79,5899
2018-09-21 07:00:00,29.79,29.96,29.79,29.96,10763
2018-09-24 07:00:00,30.1,30.1,29.96,29.96,4775
2018-09-25 07:00:00,29.96,30.13,29.96,30.13,5904
2018-09-26 07:00:00,29.79,30.47,29.79,30.47,21475
2018-09-27 07:00:00,29.96,30.3,29.96,29.99,7510
2018-09-28 07:00:00,30.47,30.47,30.4,30.47,7658
2018-10-01 07:00:00,29.99,30.64,29.99,30.5,24363
2018-10-02 07:00:00,30.64,30.64,30.5,30.5,400
2018-10-03 07:00:00,30.47,30.64,30.47,30.64,5502
2018-10-04 07:00:00,30.64,30.64,30.47,30.5,21179
2018-10-05 07:00:00,30.54,30.64,30.47,30.47,8980
2018-10-08 07:00:00,30.47,30.47,29.45,30.47,7538
2018-10-09 07:00:00,30.23,30.23,30.23,30.23,113
2018-10-10 07:00:00,30.47,30.47,29.86,29.89,8285
2018-10-11 07:00:00,30.33,30.33,30.23,30.23,3569
2018-10-12 07:00:00,29.11,29.11,29.11,29.11,100
2018-10-15 07:00:00,29.11,29.45,29.11,29.11,7542
2018-10-16 07:00:00,29.15,29.15,29.11,29.15,2480
2018-10-17 07:00:00,29.22,29.22,29.15,29.15,1106
2018-10-18 07:00:00,29.42,29.42,29.42,29.42,599
2018-10-19 07:00:00,28.78,28.78,28.78,28.78,10000
2018-10-22 07:00:00,28.78,28.81,28.78,28.81,1175
2018-10-23 07:00:00,27.76,29.11,27.76,27.76,3123
2018-10-24 07:00:00,28.78,28.78,28.1,28.78,3182
2018-10-25 07:00:00,28.71,28.71,27.12,28.44,767
2018-10-26 07:00:00,28.37,28.61,28.13,28.23,2170
2018-10-29 07:00:00,28.1,28.4,28.1,28.1,1712
2018-10-30 07:00:00,28.13,29.11,28.13,29.11,18085
2018-10-31 07:00:00,25.39,29.45,25.39,28.61,4170
2018-11-01 07:00:00,28.44,28.78,28.44,28.44,4265
2018-11-02 07:00:00,28.78,28.78,28.78,28.78,136
2018-11-05 07:00:00,30.13,30.13,28.78,28.78,11326
2018-11-06 07:00:00,28.84,29.28,28.84,29.11,13610
2018-11-07 07:00:00,28.61,29.22,28.61,29.11,6286
2018-11-08 07:00:00,29.11,29.45,29.11,29.45,3061
2018-11-09 07:00:00,29.11,29.11,29.11,29.11,2076
2018-11-12 07:00:00,29.11,29.79,29.11,29.79,26607
2018-11-13 07:00:00,29.96,30.47,29.45,30.47,14807
2018-11-14 07:00:00,30.3,30.47,30.3,30.47,43849
2018-11-15 07:00:00,30.13,31.14,30.13,30.81,21230
2018-11-16 07:00:00,30.7,31.65,30.7,31.55,40426
2018-11-19 07:00:00,31.14,31.65,31.14,31.65,43767
2018-11-20 07:00:00,31.48,31.48,31.31,31.48,44475
2018-11-21 07:00:00,31.42,31.79,31.42,31.79,7645
2018-11-22 07:00:00,31.48,31.48,31.35,31.35,28806
2018-11-23 07:00:00,31.79,31.79,30.5,30.54,2912
2018-11-26 07:00:00,31.42,31.42,31.42,31.42,180
2018-11-27 07:00:00,30.2,31.14,30.2,31.14,5183
2018-11-28 07:00:00,30.81,30.94,30.81,30.94,4634
2018-11-29 07:00:00,30.91,31.65,30.64,31.65,30631
2018-11-30 07:00:00,31.14,31.14,31.14,31.14,9150
2018-12-03 07:00:00,31.08,31.65,31.04,31.65,15768
2018-12-04 07:00:00,31.48,32.5,31.48,32.5,48347
2018-12-05 07:00:00,31.65,31.82,31.65,31.82,6027
2018-12-06 07:00:00,31.65,32.16,31.65,32.13,75611
2018-12-07 07:00:00,31.99,33.68,31.99,33.68,76516
2018-12-10 07:00:00,33.34,33.68,33.34,33.65,19522
2018-12-11 07:00:00,33.52,34.02,33.52,33.85,180517
2018-12-12 07:00:00,33.85,33.85,33.85,33.85,5777
2018-12-13 07:00:00,33.85,34.19,33.85,34.19,13463
2018-12-14 07:00:00,33.52,34.19,33.52,34.19,51352
2018-12-17 07:00:00,33.68,33.85,33.68,33.85,39004
2018-12-18 07:00:00,33.65,34.19,33.65,34.19,32946
2018-12-19 07:00:00,32.97,34.19,32.97,34.19,9006
2018-12-20 07:00:00,34.12,34.19,33.85,34.19,60850
2018-12-21 07:00:00,34.53,34.6,33.52,34.6,60517
2018-12-24 07:00:00,33.85,34.19,33.85,34.19,1536
2018-12-25 07:00:00,32.5,34.12,32.5,34.12,476
