Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,7.13,7.16,7.06,7.06,18220
2018-09-18 07:00:00,7.13,7.13,7.13,7.13,3200
2018-09-19 07:00:00,7.06,7.16,7.06,7.16,16210
2018-09-20 07:00:00,7.16,7.16,7.03,7.03,10580
2018-09-21 07:00:00,7.03,7.16,7.03,7.16,3870
2018-09-24 07:00:00,7.06,7.06,7.0,7.0,44820
2018-09-25 07:00:00,7.0,7.16,6.97,7.16,44430
2018-09-26 07:00:00,7.19,7.65,7.13,7.13,298140
2018-09-27 07:00:00,7.59,7.62,7.52,7.62,101970
2018-09-28 07:00:00,7.85,8.14,7.85,8.14,65670
2018-10-01 07:00:00,8.14,8.63,8.14,8.18,111300
2018-10-02 07:00:00,8.31,8.54,8.18,8.18,43750
2018-10-03 07:00:00,7.85,8.31,7.65,7.85,26020
2018-10-04 07:00:00,7.85,8.14,7.65,7.98,20060
2018-10-05 07:00:00,8.01,8.18,7.85,7.98,11100
2018-10-08 07:00:00,7.78,8.08,7.78,7.85,10380
2018-10-09 07:00:00,8.11,8.11,7.78,7.91,57850
2018-10-10 07:00:00,7.91,7.91,7.78,7.91,5540
2018-10-11 07:00:00,7.78,7.78,7.39,7.39,60540
2018-10-12 07:00:00,7.36,7.85,7.36,7.85,23670
2018-10-15 07:00:00,8.11,8.11,7.85,8.05,17780
2018-10-16 07:00:00,7.85,7.98,7.85,7.98,26370
2018-10-17 07:00:00,8.05,8.18,7.98,8.05,48340
2018-10-18 07:00:00,8.05,8.11,7.98,7.98,48550
2018-10-19 07:00:00,7.91,8.05,7.78,7.98,52950
2018-10-22 07:00:00,8.05,8.05,7.85,7.91,57250
2018-10-23 07:00:00,7.78,7.78,7.65,7.65,57050
2018-10-24 07:00:00,7.72,7.78,7.65,7.75,76130
2018-10-25 07:00:00,7.59,7.65,7.23,7.59,91190
2018-10-26 07:00:00,7.59,7.98,7.59,7.72,75320
2018-10-29 07:00:00,7.72,7.85,7.65,7.78,52680
2018-10-30 07:00:00,7.78,7.91,7.72,7.91,69130
2018-10-31 07:00:00,7.91,8.18,7.85,8.05,77120
2018-11-01 07:00:00,7.98,8.08,7.85,8.08,64610
2018-11-02 07:00:00,8.08,8.11,8.05,8.11,96100
2018-11-05 07:00:00,8.11,8.21,8.11,8.18,206810
2018-11-06 07:00:00,8.11,8.41,8.11,8.41,280880
2018-11-07 07:00:00,8.33,8.94,8.33,8.76,481720
2018-11-08 07:00:00,8.62,8.62,8.3,8.37,645690
2018-11-09 07:00:00,8.37,8.62,8.19,8.55,656450
2018-11-12 07:00:00,8.55,8.94,8.26,8.94,563290
2018-11-13 07:00:00,8.91,9.02,8.55,8.55,1109900
2018-11-14 07:00:00,8.55,8.55,8.33,8.37,65190
2018-11-15 07:00:00,8.33,8.37,7.79,7.97,138170
2018-11-16 07:00:00,7.97,8.26,7.69,7.69,125150
2018-11-19 07:00:00,7.58,7.9,7.54,7.76,192580
2018-11-20 07:00:00,7.69,8.3,7.65,8.3,200640
2018-11-21 07:00:00,8.3,8.76,7.97,8.44,101200
2018-11-22 07:00:00,8.73,8.84,8.41,8.44,165200
2018-11-23 07:00:00,8.44,8.91,8.44,8.69,261300
2018-11-26 07:00:00,8.62,9.02,8.62,8.84,78240
2018-11-27 07:00:00,8.62,9.05,8.62,8.87,127690
2018-11-28 07:00:00,8.73,8.91,8.73,8.84,23960
2018-11-29 07:00:00,8.91,9.34,8.91,8.98,54830
2018-11-30 07:00:00,8.98,9.55,8.98,9.55,403540
2018-12-03 07:00:00,9.77,9.84,9.55,9.63,102970
2018-12-04 07:00:00,9.48,10.09,9.34,10.09,259650
2018-12-05 07:00:00,10.09,10.09,9.63,9.7,115600
2018-12-06 07:00:00,9.73,9.77,9.52,9.73,106270
2018-12-07 07:00:00,9.63,9.91,9.63,9.63,69060
2018-12-10 07:00:00,9.63,10.02,9.63,10.02,105340
2018-12-11 07:00:00,10.09,10.34,10.06,10.34,269200
2018-12-12 07:00:00,10.34,10.34,9.99,10.13,125740
2018-12-13 07:00:00,10.42,10.42,10.06,10.2,121120
2018-12-14 07:00:00,10.09,10.34,10.06,10.34,201400
2018-12-17 07:00:00,10.34,10.34,10.09,10.17,226500
2018-12-18 07:00:00,10.17,10.27,9.84,10.02,402210
2018-12-19 07:00:00,10.27,10.34,9.91,10.34,91980
2018-12-20 07:00:00,10.13,10.78,10.09,10.78,170920
2018-12-21 07:00:00,10.78,10.78,10.42,10.7,134240
2018-12-24 07:00:00,10.7,10.7,10.49,10.56,97910
2018-12-25 07:00:00,10.42,10.78,9.91,10.78,109480
2018-12-26 07:00:00,10.7,10.78,10.27,10.52,79800
2018-12-27 07:00:00,10.42,10.7,10.27,10.7,170390
2018-12-28 07:00:00,10.7,11.13,10.34,11.13,232320
2019-01-02 07:00:00,10.81,11.06,10.45,10.49,58070
2019-01-03 07:00:00,10.42,10.49,10.06,10.49,69700
2019-01-04 07:00:00,9.99,11.17,9.99,10.42,82600
