Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,2.2,2.26,2.2,2.26,416
2018-09-18 07:00:00,2.26,2.31,2.26,2.28,1900
2018-09-19 07:00:00,2.28,2.28,2.26,2.28,22100
2018-09-20 07:00:00,2.34,2.34,2.28,2.28,2000
2018-09-21 07:00:00,2.2,2.28,2.2,2.28,1700
2018-09-24 07:00:00,2.14,2.37,2.14,2.37,10300
2018-09-25 07:00:00,2.34,2.37,2.14,2.31,132400
2018-09-26 07:00:00,2.2,2.31,2.2,2.31,1100
2018-09-27 07:00:00,2.28,2.28,2.26,2.26,5300
2018-09-28 07:00:00,2.26,2.26,2.14,2.17,52520
2018-10-01 07:00:00,2.26,2.26,2.26,2.26,1100
2018-10-02 07:00:00,2.26,2.26,2.2,2.2,1700
2018-10-03 07:00:00,2.2,2.2,2.2,2.2,3200
2018-10-04 07:00:00,2.08,2.23,2.06,2.23,12500
2018-10-05 07:00:00,2.23,2.26,2.23,2.26,17791
2018-10-08 07:00:00,2.23,2.28,2.14,2.14,17900
2018-10-09 07:00:00,2.2,2.28,2.17,2.2,31100
2018-10-10 07:00:00,2.0,2.17,2.0,2.0,79111
2018-10-11 07:00:00,2.0,2.06,1.91,2.06,11820
2018-10-12 07:00:00,1.91,2.06,1.91,2.06,6300
2018-10-15 07:00:00,2.06,2.11,2.06,2.11,20100
2018-10-16 07:00:00,2.17,2.17,2.17,2.17,1500
2018-10-17 07:00:00,2.23,2.23,1.97,2.2,5500
2018-10-18 07:00:00,2.17,2.17,2.17,2.17,1600
2018-10-22 07:00:00,2.17,2.37,2.17,2.37,53849
2018-10-23 07:00:00,2.37,2.46,2.37,2.46,9625
2018-10-24 07:00:00,2.4,2.48,2.37,2.37,17800
2018-10-25 07:00:00,2.46,2.46,2.37,2.46,2300
2018-10-26 07:00:00,2.37,2.37,2.37,2.37,1900
2018-10-29 07:00:00,2.23,2.34,2.23,2.34,1100
2018-10-30 07:00:00,2.23,2.34,2.23,2.28,1300
2018-10-31 07:00:00,2.4,2.4,2.4,2.4,100
2018-11-01 07:00:00,2.4,2.4,2.28,2.28,7100
2018-11-02 07:00:00,2.28,2.28,2.26,2.26,1900
2018-11-05 07:00:00,2.34,2.34,2.31,2.31,600
2018-11-06 07:00:00,2.14,2.4,2.14,2.31,10100
2018-11-07 07:00:00,2.31,2.31,2.31,2.31,1000
