Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,13.54,13.54,13.36,13.36,502346
2018-09-18 07:00:00,13.36,13.54,13.27,13.54,676105
2018-09-19 07:00:00,13.63,14.28,13.63,14.0,2368584
2018-09-20 07:00:00,14.0,15.28,14.0,15.01,3155892
2018-09-21 07:00:00,15.01,15.28,14.64,15.01,2264836
2018-09-24 07:00:00,14.92,15.19,14.82,15.1,1277062
2018-09-25 07:00:00,15.1,15.83,15.1,15.74,2650811
2018-09-26 07:00:00,15.74,15.92,15.28,15.28,2063192
2018-09-27 07:00:00,15.19,15.74,15.1,15.56,2057913
2018-09-28 07:00:00,15.56,15.74,15.28,15.28,1593169
2018-10-01 07:00:00,15.46,16.01,15.37,15.65,1600244
2018-10-02 07:00:00,15.65,16.01,15.65,15.74,1501085
2018-10-03 07:00:00,15.83,15.92,15.37,15.92,774390
2018-10-04 07:00:00,15.74,16.29,15.74,16.01,1593389
2018-10-05 07:00:00,15.83,16.01,15.19,15.46,1003434
2018-10-08 07:00:00,15.37,15.37,14.64,14.82,1344119
2018-10-09 07:00:00,14.64,15.19,14.64,15.01,593670
2018-10-10 07:00:00,15.01,15.19,14.73,15.01,446315
2018-10-11 07:00:00,14.73,14.82,13.36,13.45,2843928
2018-10-12 07:00:00,13.54,14.18,12.99,14.09,1095021
2018-10-15 07:00:00,13.91,14.28,13.54,13.54,709208
2018-10-16 07:00:00,13.54,13.82,13.54,13.73,430200
2018-10-17 07:00:00,14.18,14.28,13.82,14.09,394571
2018-10-18 07:00:00,13.82,13.91,13.73,13.82,300430
2018-10-19 07:00:00,13.54,13.73,13.36,13.63,341105
2018-10-22 07:00:00,13.73,13.91,13.54,13.63,310814
2018-10-23 07:00:00,13.63,13.73,13.27,13.54,553120
2018-10-24 07:00:00,13.45,13.54,12.63,12.9,990514
2018-10-25 07:00:00,12.72,12.9,12.17,12.81,863295
2018-10-26 07:00:00,12.81,13.45,12.72,12.99,750800
2018-10-29 07:00:00,12.99,13.08,12.72,12.81,273190
2018-10-30 07:00:00,12.81,12.99,12.81,12.9,265700
2018-10-31 07:00:00,12.99,13.36,12.99,13.18,537870
2018-11-01 07:00:00,13.18,13.18,12.9,12.99,348188
2018-11-02 07:00:00,12.99,13.27,12.9,12.99,538920
2018-11-05 07:00:00,13.18,13.18,12.81,12.9,404230
2018-11-06 07:00:00,13.08,13.18,12.81,12.99,522830
2018-11-07 07:00:00,12.81,12.99,12.72,12.72,309600
2018-11-08 07:00:00,12.99,12.99,12.72,12.9,567810
2018-11-09 07:00:00,12.9,12.9,12.63,12.72,422500
2018-11-12 07:00:00,12.63,12.81,12.44,12.63,237900
2018-11-13 07:00:00,12.63,12.63,12.44,12.63,287300
2018-11-14 07:00:00,12.35,12.54,11.99,12.26,456800
2018-11-15 07:00:00,12.35,12.35,12.17,12.26,381300
2018-11-16 07:00:00,12.17,12.44,12.17,12.35,870721
2018-11-19 07:00:00,12.54,12.72,12.35,12.72,449250
2018-11-20 07:00:00,12.54,12.72,12.35,12.63,230640
2018-11-21 07:00:00,12.44,12.63,12.35,12.54,372900
2018-11-22 07:00:00,12.54,12.72,12.54,12.63,336500
2018-11-23 07:00:00,12.72,12.72,12.54,12.63,207410
2018-11-26 07:00:00,12.44,12.72,12.35,12.72,482310
2018-11-27 07:00:00,12.81,12.99,12.72,12.81,663630
2018-11-28 07:00:00,12.9,12.99,12.72,12.99,396610
2018-11-29 07:00:00,13.08,13.08,12.63,12.72,211530
2018-11-30 07:00:00,12.81,12.81,12.63,12.81,123286
2018-12-03 07:00:00,12.81,13.63,12.81,13.27,469178
2018-12-04 07:00:00,13.27,13.36,12.99,13.27,509660
2018-12-05 07:00:00,13.27,13.82,13.08,13.73,1176816
