Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,3.88,3.9,3.84,3.87,21370
2018-09-18 07:00:00,3.84,3.92,3.84,3.88,18700
2018-09-19 07:00:00,3.92,3.95,3.86,3.93,216200
2018-09-20 07:00:00,3.96,4.1,3.91,4.05,269200
2018-09-21 07:00:00,4.09,4.1,3.97,4.03,153240
2018-09-24 07:00:00,4.03,4.03,3.98,4.02,65880
2018-09-25 07:00:00,4.03,4.03,3.97,4.01,104600
2018-09-26 07:00:00,4.01,4.08,3.98,4.06,217700
2018-09-27 07:00:00,4.06,4.06,4.01,4.02,75790
2018-09-28 07:00:00,4.07,4.07,4.01,4.01,94660
2018-10-01 07:00:00,4.02,4.02,3.97,4.01,150440
2018-10-02 07:00:00,4.04,4.04,3.98,3.99,229940
2018-10-03 07:00:00,4.01,4.01,3.98,3.98,75090
2018-10-04 07:00:00,3.98,4.0,3.93,3.96,105660
2018-10-05 07:00:00,4.0,4.0,3.94,3.95,50550
2018-10-08 07:00:00,3.97,3.97,3.92,3.93,168630
2018-10-09 07:00:00,3.96,3.96,3.92,3.92,68740
2018-10-10 07:00:00,3.97,3.97,3.92,3.93,46980
2018-10-11 07:00:00,3.93,3.93,3.79,3.79,224170
2018-10-12 07:00:00,3.84,3.88,3.77,3.88,140080
2018-10-15 07:00:00,3.88,3.88,3.8,3.8,21110
2018-10-16 07:00:00,3.87,3.92,3.79,3.85,19760
2018-10-17 07:00:00,3.92,3.92,3.84,3.84,37270
2018-10-18 07:00:00,3.8,3.84,3.79,3.82,47020
2018-10-19 07:00:00,3.79,3.83,3.79,3.83,60190
2018-10-22 07:00:00,3.83,3.91,3.79,3.84,62470
2018-10-23 07:00:00,3.8,3.8,3.75,3.79,73430
2018-10-24 07:00:00,3.79,3.79,3.74,3.74,105270
2018-10-25 07:00:00,3.74,3.74,3.68,3.71,159560
2018-10-26 07:00:00,3.88,3.88,3.67,3.67,45470
2018-10-29 07:00:00,3.71,3.75,3.7,3.71,32790
2018-10-30 07:00:00,3.71,3.71,3.7,3.7,12600
2018-10-31 07:00:00,3.66,3.92,3.66,3.88,126760
2018-11-01 07:00:00,3.73,3.88,3.73,3.79,50330
2018-11-02 07:00:00,3.83,3.83,3.73,3.78,17600
2018-11-05 07:00:00,3.75,3.75,3.71,3.72,17020
2018-11-06 07:00:00,3.73,3.73,3.49,3.68,67010
2018-11-07 07:00:00,3.68,3.74,3.68,3.7,28750
2018-11-08 07:00:00,3.7,3.71,3.66,3.66,70900
2018-11-09 07:00:00,3.7,3.7,3.67,3.67,39890
2018-11-12 07:00:00,3.67,3.73,3.66,3.7,46230
2018-11-13 07:00:00,3.7,3.7,3.69,3.69,44200
2018-11-14 07:00:00,3.69,3.69,3.67,3.69,20040
2018-11-15 07:00:00,3.68,3.69,3.66,3.66,49210
2018-11-16 07:00:00,3.71,3.71,3.66,3.66,155410
2018-11-19 07:00:00,3.7,3.71,3.67,3.71,70540
2018-11-20 07:00:00,3.72,3.72,3.71,3.71,38680
2018-11-21 07:00:00,3.75,3.75,3.62,3.71,3280
2018-11-22 07:00:00,3.68,3.71,3.67,3.71,64960
2018-11-23 07:00:00,3.68,3.71,3.68,3.71,12600
2018-11-26 07:00:00,3.71,3.71,3.68,3.7,2170
2018-11-27 07:00:00,3.71,3.71,3.68,3.68,48820
2018-11-28 07:00:00,3.67,3.71,3.67,3.68,29540
2018-11-29 07:00:00,3.68,3.68,3.68,3.68,45490
2018-11-30 07:00:00,3.68,3.68,3.67,3.67,20010
2018-12-03 07:00:00,3.68,3.7,3.67,3.67,57000
2018-12-04 07:00:00,3.68,3.7,3.68,3.68,61030
2018-12-05 07:00:00,3.71,3.71,3.68,3.68,92210
2018-12-06 07:00:00,3.74,3.92,3.74,3.82,249260
2018-12-07 07:00:00,3.88,4.01,3.88,3.97,409870
2018-12-10 07:00:00,3.97,4.06,3.92,3.99,156440
2018-12-11 07:00:00,3.99,3.99,3.91,3.92,115080
2018-12-12 07:00:00,3.88,3.92,3.79,3.86,224280
2018-12-13 07:00:00,3.84,3.88,3.81,3.81,80100
2018-12-14 07:00:00,3.87,3.87,3.79,3.81,42350
2018-12-17 07:00:00,3.79,3.81,3.68,3.7,157520
2018-12-18 07:00:00,3.7,3.7,3.65,3.69,143510
2018-12-19 07:00:00,3.69,3.7,3.68,3.69,31980
