Date,Open,High,Low,Close,Volume
2018-09-17 07:00:00,6.48,6.48,6.48,6.48,9400
2018-09-19 07:00:00,5.6,6.78,5.6,6.78,200
2018-09-20 07:00:00,6.78,6.78,6.78,6.78,5300
2018-09-21 07:00:00,6.72,6.72,6.72,6.72,1300
2018-09-24 07:00:00,5.95,5.95,5.95,5.95,100
2018-09-25 07:00:00,6.78,6.78,6.78,6.78,1700
2018-09-26 07:00:00,6.78,6.78,6.78,6.78,12500
2018-09-27 07:00:00,6.78,6.78,6.72,6.78,4500
2018-09-28 07:00:00,6.78,6.78,6.78,6.78,1100
2018-10-01 07:00:00,5.89,6.72,5.89,6.72,500
2018-10-02 07:00:00,5.66,6.78,5.66,6.78,200
2018-10-03 07:00:00,6.78,6.78,6.78,6.78,100
2018-10-04 07:00:00,5.83,6.78,5.83,6.78,500
2018-10-05 07:00:00,5.83,6.72,5.83,6.01,300
2018-10-08 07:00:00,6.19,6.19,6.19,6.19,4200
2018-10-09 07:00:00,6.19,6.19,6.19,6.19,4200
2018-10-10 07:00:00,6.19,6.19,6.19,6.19,8100
2018-10-11 07:00:00,6.19,6.19,6.19,6.19,8100
2018-10-12 07:00:00,6.13,6.19,6.13,6.19,3000
2018-10-15 07:00:00,6.19,6.19,6.19,6.19,5700
2018-10-16 07:00:00,6.19,6.78,6.19,6.48,33800
2018-10-18 07:00:00,6.25,6.25,6.19,6.19,7000
2018-10-19 07:00:00,5.42,5.42,5.42,5.42,2400
2018-10-22 07:00:00,5.6,5.6,5.6,5.6,3400
2018-10-23 07:00:00,5.83,6.36,5.78,6.36,5400
2018-10-24 07:00:00,6.36,6.36,6.36,6.36,12100
2018-10-25 07:00:00,6.36,6.36,6.31,6.31,6100
2018-10-26 07:00:00,6.31,6.31,5.89,5.89,8800
2018-10-29 07:00:00,6.01,6.01,6.01,6.01,2400
2018-10-30 07:00:00,6.13,6.13,6.13,6.13,4300
2018-10-31 07:00:00,6.25,6.25,6.25,6.25,300
2018-11-02 07:00:00,5.54,5.72,5.54,5.72,800
2018-11-05 07:00:00,5.72,5.78,5.72,5.72,1200
2018-11-06 07:00:00,5.83,5.89,5.83,5.89,1100
2018-11-07 07:00:00,5.89,5.89,5.89,5.89,200
2018-11-08 07:00:00,5.89,5.89,5.89,5.89,300
2018-11-09 07:00:00,5.89,5.89,5.89,5.89,1000
2018-11-12 07:00:00,5.89,5.89,5.89,5.89,1000
2018-11-13 07:00:00,5.42,5.42,5.42,5.42,500
2018-11-15 07:00:00,4.66,5.6,4.66,5.6,200
2018-11-16 07:00:00,5.36,5.89,5.36,5.89,10300
2018-11-19 07:00:00,6.19,6.19,6.19,6.19,100
2018-11-20 07:00:00,6.78,6.78,6.78,6.78,200
2018-11-21 07:00:00,5.78,5.83,5.78,5.83,200
2018-11-22 07:00:00,6.6,6.6,5.78,6.01,4600
2018-11-23 07:00:00,6.48,6.48,6.48,6.48,100
2018-11-26 07:00:00,5.54,6.42,5.54,6.42,400
2018-11-27 07:00:00,6.36,6.36,6.36,6.36,200
2018-11-28 07:00:00,5.48,5.72,5.48,5.72,600
2018-12-03 07:00:00,5.07,5.07,5.07,5.07,100
2018-12-04 07:00:00,5.54,5.72,5.54,5.72,200
2018-12-07 07:00:00,5.66,5.66,5.66,5.66,100
2018-12-10 07:00:00,5.66,5.66,5.66,5.66,1000
2018-12-11 07:00:00,5.66,5.66,5.66,5.66,1000
2018-12-12 07:00:00,5.66,5.66,5.66,5.66,1000
2018-12-13 07:00:00,5.66,5.66,5.66,5.66,1000
2018-12-14 07:00:00,5.66,5.66,5.66,5.66,100
2018-12-19 07:00:00,5.72,5.72,5.66,5.66,7900
2018-12-20 07:00:00,5.72,6.31,5.66,5.66,1600
2018-12-24 07:00:00,5.07,5.07,5.07,5.07,100
2018-12-26 07:00:00,4.77,4.77,4.77,4.77,100
2018-12-27 07:00:00,5.48,5.48,5.48,5.48,100
2018-12-28 07:00:00,4.89,4.89,4.89,4.89,100
2019-01-02 07:00:00,5.01,5.01,5.01,5.01,3800
2019-01-09 07:00:00,5.3,5.3,5.3,5.3,400
2019-01-10 07:00:00,5.54,6.01,5.54,6.01,8200
2019-01-14 07:00:00,4.89,4.89,4.89,4.89,100
2019-01-16 07:00:00,5.6,5.6,5.6,5.6,100
2019-01-17 07:00:00,4.77,4.77,4.77,4.77,100
2019-01-18 07:00:00,5.48,5.48,5.48,5.48,100
2019-01-21 07:00:00,5.01,5.01,5.01,5.01,100
2019-01-23 07:00:00,5.36,5.36,5.07,5.07,200
2019-01-24 07:00:00,5.95,5.95,5.95,5.95,100
2019-01-25 07:00:00,5.13,5.83,5.13,5.13,300
2019-01-28 07:00:00,5.36,5.36,5.36,5.36,300
2019-01-30 07:00:00,5.36,5.36,5.36,5.36,100
2019-01-31 07:00:00,5.6,5.6,5.6,5.6,1024
2019-02-01 07:00:00,5.6,5.6,5.6,5.6,100
2019-02-11 07:00:00,4.89,5.6,4.89,5.6,200
2019-02-12 07:00:00,4.95,6.01,4.95,6.01,1500
2019-02-13 07:00:00,6.07,6.07,6.01,6.01,11300
2019-02-14 07:00:00,5.19,5.3,5.19,5.3,200
2019-02-15 07:00:00,5.78,5.78,5.78,5.78,100
2019-02-18 07:00:00,6.01,6.13,5.83,5.83,2914
2019-02-19 07:00:00,5.83,6.07,5.83,6.01,1900
2019-02-20 07:00:00,6.01,6.01,6.01,6.01,600
2019-02-22 07:00:00,5.83,5.83,5.19,5.19,500
2019-03-01 07:00:00,6.01,6.01,5.89,5.89,2100
2019-03-04 07:00:00,6.19,6.19,5.89,5.89,200
2019-03-05 07:00:00,5.3,6.01,5.3,6.01,200
2019-03-06 07:00:00,5.95,5.95,5.95,5.95,100
2019-03-07 07:00:00,5.36,5.95,5.36,5.95,200
2019-03-08 07:00:00,6.01,6.01,5.95,5.95,3500
2019-03-11 07:00:00,6.01,6.48,5.95,5.95,4600
2019-03-12 07:00:00,6.01,6.42,6.01,6.42,2000
2019-03-13 07:00:00,6.48,6.78,6.42,6.42,6200
2019-03-14 07:00:00,6.48,6.48,6.48,6.48,800
2019-03-15 07:00:00,5.54,6.48,5.54,6.48,200
2019-03-18 07:00:00,6.78,6.78,5.66,5.66,700
2019-03-20 07:00:00,6.13,6.13,6.13,6.13,1300
2019-03-21 07:00:00,6.48,6.48,6.48,6.48,1000
2019-03-22 07:00:00,5.54,6.48,5.54,6.48,200
2019-03-25 07:00:00,5.13,6.01,5.13,6.01,900
2019-03-26 07:00:00,6.42,6.42,6.42,6.42,900
2019-03-27 07:00:00,5.54,6.31,5.54,6.31,200
2019-03-28 07:00:00,5.3,5.89,5.3,5.89,307
2019-03-29 07:00:00,5.72,5.72,5.72,5.72,5000
2019-04-02 07:00:00,6.19,6.19,6.19,6.19,101
2019-04-03 07:00:00,5.48,6.13,5.48,6.13,200
2019-04-04 07:00:00,6.01,6.01,6.01,6.01,1100
2019-04-05 07:00:00,5.13,6.01,5.13,6.01,200
2019-04-08 07:00:00,6.01,6.19,5.6,5.6,1000
2019-04-11 07:00:00,6.01,6.01,6.01,6.01,500
2019-04-12 07:00:00,6.42,6.42,6.42,6.42,100
2019-04-16 07:00:00,6.48,6.66,6.48,6.66,2000
2019-04-17 07:00:00,5.72,5.72,5.72,5.72,100
2019-04-18 07:00:00,5.89,5.89,5.89,5.89,2100
2019-04-19 07:00:00,5.89,6.07,5.89,6.07,13300
2019-04-22 07:00:00,6.01,6.07,6.01,6.07,900
2019-04-23 07:00:00,6.07,6.07,6.07,6.07,100
2019-04-24 07:00:00,5.19,5.19,5.19,5.19,100
